target_id	gene_name	qval	log2fc	final_annotation	final_annotation.y	direction
ENSMUSG00000030934	Oat	0.010470953	-1.319377775	protein_coding	protein_coding	Downregulated
ENSMUSG00000007827	Ankrd26	0.003100487	-1.319048969	protein_coding	protein_coding	Downregulated
ENSMUSG00000022790	Igsf11	0.001971473	-1.317181109	protein_coding	protein_coding	Downregulated
ENSMUSG00000026669	Mcm10	2.23E-07	-1.314561143	protein_coding	protein_coding	Downregulated
ENSMUSG00000097180	2700038G22Rik	0.003980114	-1.312783864	lincRNA	lincRNA	Downregulated
ENSMUSG00000027454	Gins1	9.69E-05	-1.310943682	protein_coding	protein_coding	Downregulated
ENSMUSG00000027203	Dut	5.96E-05	-1.31065906	protein_coding	protein_coding	Downregulated
ENSMUSG00000007646	Rad51c	9.91E-05	-1.309137507	protein_coding	protein_coding	Downregulated
ENSMUSG00000037148	Arhgap10	7.38E-08	-1.305681623	protein_coding	protein_coding	Downregulated
ENSMUSG00000044702	Palb2	0.001297339	-1.303173706	protein_coding	protein_coding	Downregulated
ENSMUSG00000033083	Tbc1d4	2.08E-09	-1.300862542	protein_coding	protein_coding	Downregulated
ENSMUSG00000094595	Fsbp	0.00362402	-1.297331056	protein_coding	protein_coding	Downregulated
ENSMUSG00000015880	Ncapg	5.89E-07	-1.296683911	protein_coding	protein_coding	Downregulated
ENSMUSG00000021569	Trip13	4.75E-07	-1.296631107	protein_coding	protein_coding	Downregulated
ENSMUSG00000012443	Kif11	1.55E-09	-1.296614145	protein_coding	protein_coding	Downregulated
ENSMUSG00000039982	Dtx4	4.92E-06	-1.295168158	protein_coding	protein_coding	Downregulated
ENSMUSG00000031788	Kifc3	0.017097148	-1.294951579	protein_coding	protein_coding	Downregulated
ENSMUSG00000028933	Xrcc2	6.54E-05	-1.294768554	protein_coding	protein_coding	Downregulated
ENSMUSG00000013155	Enkd1	8.44E-07	-1.294153223	protein_coding	protein_coding	Downregulated
ENSMUSG00000032397	Tipin	0.000125735	-1.293927108	protein_coding	protein_coding	Downregulated
ENSMUSG00000038943	Prc1	8.98E-14	-1.292755633	protein_coding	protein_coding	Downregulated
ENSMUSG00000000884	Gnb1l	7.62E-05	-1.292222127	protein_coding	protein_coding	Downregulated
ENSMUSG00000041147	Brca2	6.50E-05	-1.291565834	protein_coding	protein_coding	Downregulated
ENSMUSG00000037572	Wdhd1	1.09E-05	-1.289693981	protein_coding	protein_coding	Downregulated
ENSMUSG00000030978	Rrm1	8.38E-06	-1.287392746	protein_coding	protein_coding	Downregulated
ENSMUSG00000029591	Ung	2.57E-05	-1.287029207	protein_coding	protein_coding	Downregulated
ENSMUSG00000026657	Frmd4a	5.92E-06	-1.283796094	protein_coding	protein_coding	Downregulated
ENSMUSG00000029177	Cenpa	1.27E-05	-1.283429723	protein_coding	protein_coding	Downregulated
ENSMUSG00000030641	Ddias	2.36E-05	-1.282417342	protein_coding	protein_coding	Downregulated
ENSMUSG00000053219	Raet1e	0.002384064	-1.281740712	protein_coding	protein_coding	Downregulated
ENSMUSG00000033307	Mif	0.02882065	-1.280743947	protein_coding	protein_coding	Downregulated
ENSMUSG00000026483	Fam129a	0.007407271	-1.280680821	protein_coding	protein_coding	Downregulated
ENSMUSG00000020914	Top2a	3.51E-05	-1.279450411	protein_coding	protein_coding	Downregulated
ENSMUSG00000024972	Lgals12	0.000478576	-1.277376538	protein_coding	protein_coding	Downregulated
ENSMUSG00000027306	Nusap1	3.92E-09	-1.275569971	protein_coding	protein_coding	Downregulated
MSTRG.50686	MSTRG.50686	0.036644011	-1.275541957	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000024186	Rgs11	0.0121804	-1.275262365	protein_coding	protein_coding	Downregulated
ENSMUSG00000025395	Prim1	1.45E-06	-1.275131207	protein_coding	protein_coding	Downregulated
ENSMUSG00000041741	Pde3a	7.04E-11	-1.274503904	protein_coding	protein_coding	Downregulated
ENSMUSG00000026921	Egfl7	0.000207414	-1.270869079	protein_coding	protein_coding	Downregulated
ENSMUSG00000063245	Zfp993	0.040130097	-1.267948591	protein_coding	protein_coding	Downregulated
ENSMUSG00000056531	Ccdc18	0.00140119	-1.266838276	protein_coding	protein_coding	Downregulated
ENSMUSG00000074867	Zfp808	0.000932347	-1.266475296	protein_coding	protein_coding	Downregulated
ENSMUSG00000041974	Spidr	1.53E-09	-1.265883907	protein_coding	protein_coding	Downregulated
ENSMUSG00000035273	Hpse	0.002793729	-1.265570199	protein_coding	protein_coding	Downregulated
ENSMUSG00000021418	Rpp40	2.24E-07	-1.260579416	protein_coding	protein_coding	Downregulated
ENSMUSG00000023505	Cdca3	1.09E-08	-1.259614749	protein_coding	protein_coding	Downregulated
ENSMUSG00000090213	Tmem189	5.31E-08	-1.258156401	protein_coding	protein_coding	Downregulated
ENSMUSG00000038838	Vars2	2.29E-09	-1.256402892	protein_coding	protein_coding	Downregulated
ENSMUSG00000049871	Nlrc3	0.012487536	-1.255610594	protein_coding	protein_coding	Downregulated
ENSMUSG00000034883	Lrr1	0.000538686	-1.255568715	protein_coding	protein_coding	Downregulated
ENSMUSG00000027323	Rad51	3.58E-07	-1.253690384	protein_coding	protein_coding	Downregulated
ENSMUSG00000039231	Suv39h1	1.51E-10	-1.252888205	protein_coding	protein_coding	Downregulated
ENSMUSG00000039831	Arhgap29	4.22E-07	-1.252882719	protein_coding	protein_coding	Downregulated
ENSMUSG00000035126	Wdr78	0.017672927	-1.251579063	protein_coding	protein_coding	Downregulated
ENSMUSG00000031451	Gas6	0.000701711	-1.247959568	protein_coding	protein_coding	Downregulated
ENSMUSG00000047583	Tyw3	0.013444576	-1.247696179	protein_coding	protein_coding	Downregulated
ENSMUSG00000030929	Eri2	1.72E-09	-1.24756559	protein_coding	protein_coding	Downregulated
ENSMUSG00000026955	Sapcd2	0.0018008	-1.246856537	protein_coding	protein_coding	Downregulated
MSTRG.37344	MSTRG.37344	1.94E-06	-1.246750657	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000097967	Gm27002	0.048552592	-1.246500572	other	other	Downregulated
ENSMUSG00000054115	Skp2	4.39E-07	-1.246405394	protein_coding	protein_coding	Downregulated
ENSMUSG00000030867	Plk1	3.39E-06	-1.246287445	protein_coding	protein_coding	Downregulated
ENSMUSG00000022369	Mtbp	0.000230789	-1.246243107	protein_coding	protein_coding	Downregulated
ENSMUSG00000031756	Cenpn	2.15E-08	-1.246044468	protein_coding	protein_coding	Downregulated
ENSMUSG00000021176	Efcab11	7.14E-05	-1.24534475	protein_coding	protein_coding	Downregulated
ENSMUSG00000097515	1700040D17Rik	0.029492695	-1.243760148	lincRNA	lincRNA	Downregulated
ENSMUSG00000054920	Klhl5	1.22E-10	-1.240118629	protein_coding	protein_coding	Downregulated
ENSMUSG00000020185	E2f7	0.000526015	-1.239872359	protein_coding	protein_coding	Downregulated
ENSMUSG00000027469	Tpx2	1.34E-07	-1.239663934	protein_coding	protein_coding	Downregulated
ENSMUSG00000070960	Gm19680	0.000126952	-1.23817022	other	other	Downregulated
ENSMUSG00000024590	Lmnb1	1.36E-05	-1.237651549	protein_coding	protein_coding	Downregulated
ENSMUSG00000020592	Sdc1	0.000135818	-1.235873435	protein_coding	protein_coding	Downregulated
ENSMUSG00000022385	Gtse1	1.24E-06	-1.231170122	protein_coding	protein_coding	Downregulated
ENSMUSG00000027298	Tyro3	0.000531513	-1.229997138	protein_coding	protein_coding	Downregulated
ENSMUSG00000008575	Nfib	1.63E-10	-1.229351266	protein_coding	protein_coding	Downregulated
ENSMUSG00000018548	Trim37	9.47E-11	-1.228842872	protein_coding	protein_coding	Downregulated
ENSMUSG00000043015	Nemp2	5.72E-05	-1.228663812	protein_coding	protein_coding	Downregulated
ENSMUSG00000028614	Ndc1	1.83E-09	-1.227548147	protein_coding	protein_coding	Downregulated
ENSMUSG00000033031	C330027C09Rik	2.10E-08	-1.227435519	protein_coding	protein_coding	Downregulated
ENSMUSG00000052062	Pard3b	1.52E-08	-1.225861931	protein_coding	protein_coding	Downregulated
ENSMUSG00000003541	Ier3	4.33E-11	-1.224618931	protein_coding	protein_coding	Downregulated
ENSMUSG00000085614	1700123M08Rik	0.037466076	-1.224598943	other	other	Downregulated
ENSMUSG00000110105	Vmn2r29	0.027943994	-1.223998836	protein_coding	protein_coding	Downregulated
ENSMUSG00000033857	Engase	2.96E-08	-1.22325386	protein_coding	protein_coding	Downregulated
ENSMUSG00000026321	Tnfrsf11a	1.56E-06	-1.222455132	protein_coding	protein_coding	Downregulated
ENSMUSG00000087366	Junos	0.019545931	-1.220669448	other	other	Downregulated
ENSMUSG00000027496	Aurka	6.18E-10	-1.220605486	protein_coding	protein_coding	Downregulated
ENSMUSG00000029246	Ppat	5.24E-06	-1.220115324	protein_coding	protein_coding	Downregulated
ENSMUSG00000097571	Jpx	0.008166672	-1.216588258	lincRNA	lincRNA	Downregulated
MSTRG.15523	MSTRG.15523	0.042498669	-1.214161274	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000023066	Rttn	1.87E-08	-1.21355963	protein_coding	protein_coding	Downregulated
ENSMUSG00000026017	Carf	0.007086282	-1.213389832	protein_coding	protein_coding	Downregulated
ENSMUSG00000069184	Zfp72	9.15E-05	-1.212973202	protein_coding	protein_coding	Downregulated
ENSMUSG00000042215	Bag2	2.94E-05	-1.212739961	protein_coding	protein_coding	Downregulated
ENSMUSG00000047003	Zfp41	2.77E-06	-1.212353191	protein_coding	protein_coding	Downregulated
ENSMUSG00000009575	Cbx5	9.83E-13	-1.209738824	protein_coding	protein_coding	Downregulated
ENSMUSG00000027381	Bcl2l11	0.000387225	-1.209352104	protein_coding	protein_coding	Downregulated
ENSMUSG00000033871	Ppargc1b	6.09E-10	-1.209207906	protein_coding	protein_coding	Downregulated
ENSMUSG00000072082	Ccnf	1.25E-09	-1.207147491	protein_coding	protein_coding	Downregulated
ENSMUSG00000021831	Ero1l	0.012669747	-1.206755408	protein_coding	protein_coding	Downregulated
ENSMUSG00000022436	Sh3bp1	0.001265406	-1.206140913	protein_coding	protein_coding	Downregulated
ENSMUSG00000023004	Tuba1b	6.92E-07	-1.205954495	protein_coding	protein_coding	Downregulated
ENSMUSG00000058216	Gstp3	0.043369634	-1.205141515	protein_coding	protein_coding	Downregulated
ENSMUSG00000021221	Dpf3	0.028344436	-1.204218933	protein_coding	protein_coding	Downregulated
ENSMUSG00000038252	Ncapd2	1.84E-05	-1.20410078	protein_coding	protein_coding	Downregulated
ENSMUSG00000021684	Pde8b	0.000495501	-1.203928336	protein_coding	protein_coding	Downregulated
ENSMUSG00000097577	6230400D17Rik	0.020245944	-1.203917692	lincRNA	lincRNA	Downregulated
ENSMUSG00000001403	Ube2c	0.003143831	-1.200280563	protein_coding	protein_coding	Downregulated
ENSMUSG00000026784	Pdss1	1.37E-06	-1.199917604	protein_coding	protein_coding	Downregulated
ENSMUSG00000041431	Ccnb1	2.41E-12	-1.197324846	protein_coding	protein_coding	Downregulated
ENSMUSG00000040860	Crocc	0.003255013	-1.196836821	protein_coding	protein_coding	Downregulated
ENSMUSG00000028066	Pmf1	0.000158905	-1.195751064	protein_coding	protein_coding	Downregulated
ENSMUSG00000020330	Hmmr	1.70E-09	-1.19534609	protein_coding	protein_coding	Downregulated
ENSMUSG00000040034	Nup43	1.06E-09	-1.195063085	protein_coding	protein_coding	Downregulated
ENSMUSG00000039509	Nup133	1.98E-10	-1.194777225	protein_coding	protein_coding	Downregulated
ENSMUSG00000032409	Atr	3.85E-08	-1.19224631	protein_coding	protein_coding	Downregulated
ENSMUSG00000086503	Xist	5.21E-06	-1.191602739	lincRNA	lincRNA	Downregulated
mmu-miR-3105-3p	mmu-miR-3105-3p	0.0495	-1.191093188	miRNA	NA	Downregulated
ENSMUSG00000042851	Zc3h6	6.43E-07	-1.190787286	protein_coding	protein_coding	Downregulated
ENSMUSG00000020846	Rflnb	0.000460605	-1.188264222	protein_coding	protein_coding	Downregulated
ENSMUSG00000057541	Pus7	1.77E-08	-1.187727139	protein_coding	protein_coding	Downregulated
ENSMUSG00000046711	Hmga1	1.88E-05	-1.187416294	protein_coding	protein_coding	Downregulated
ENSMUSG00000074802	Gas2l3	6.56E-11	-1.186084761	protein_coding	protein_coding	Downregulated
ENSMUSG00000019845	Tube1	0.004024712	-1.185808059	protein_coding	protein_coding	Downregulated
ENSMUSG00000045327	6330549D23Rik	0.008143474	-1.184983249	other	other	Downregulated
ENSMUSG00000027490	E2f1	5.12E-07	-1.184963353	protein_coding	protein_coding	Downregulated
ENSMUSG00000017716	Birc5	1.60E-11	-1.184713876	protein_coding	protein_coding	Downregulated
ENSMUSG00000087367	Gm15491	0.047680797	-1.184564354	other	other	Downregulated
ENSMUSG00000054321	Taf4b	8.89E-07	-1.184170735	protein_coding	protein_coding	Downregulated
ENSMUSG00000036223	Ska1	1.25E-06	-1.183963101	protein_coding	protein_coding	Downregulated
ENSMUSG00000029910	Mad2l1	1.94E-12	-1.183462581	protein_coding	protein_coding	Downregulated
ENSMUSG00000026259	Ngef	2.15E-11	-1.179683868	protein_coding	protein_coding	Downregulated
ENSMUSG00000051235	Gen1	0.000284867	-1.179248499	protein_coding	protein_coding	Downregulated
ENSMUSG00000040658	Dnph1	8.92E-05	-1.178839033	protein_coding	protein_coding	Downregulated
ENSMUSG00000040918	Slc19a2	1.27E-07	-1.177946409	protein_coding	protein_coding	Downregulated
ENSMUSG00000028832	Stmn1	0.003932201	-1.177454678	protein_coding	protein_coding	Downregulated
ENSMUSG00000024660	Incenp	3.68E-08	-1.175296766	protein_coding	protein_coding	Downregulated
ENSMUSG00000028551	Cdkn2c	2.43E-05	-1.174280656	protein_coding	protein_coding	Downregulated
ENSMUSG00000030671	Pde3b	0.001745078	-1.174162397	protein_coding	protein_coding	Downregulated
ENSMUSG00000045328	Cenpe	0.00047287	-1.173150696	protein_coding	protein_coding	Downregulated
ENSMUSG00000045932	Ifit2	0.013447036	-1.171898673	protein_coding	protein_coding	Downregulated
ENSMUSG00000047757	Fancb	3.02E-06	-1.171115802	protein_coding	protein_coding	Downregulated
ENSMUSG00000034349	Smc4	1.13E-08	-1.170797589	protein_coding	protein_coding	Downregulated
ENSMUSG00000025019	Lcor	0.018869328	-1.170035349	protein_coding	protein_coding	Downregulated
MSTRG.11781	MSTRG.11781	0.010283812	-1.169409463	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000034311	Kif4	3.63E-05	-1.169253412	protein_coding	protein_coding	Downregulated
ENSMUSG00000000751	Rpa1	1.10E-11	-1.166934436	protein_coding	protein_coding	Downregulated
ENSMUSG00000003779	Kif20a	6.79E-09	-1.165931287	protein_coding	protein_coding	Downregulated
ENSMUSG00000028572	Hook1	8.15E-06	-1.164940975	protein_coding	protein_coding	Downregulated
ENSMUSG00000027605	Acss2	0.008164992	-1.164213067	protein_coding	protein_coding	Downregulated
ENSMUSG00000021830	Txndc16	0.00900239	-1.163511857	protein_coding	protein_coding	Downregulated
ENSMUSG00000007379	Dennd2c	0.000572612	-1.162221429	protein_coding	protein_coding	Downregulated
ENSMUSG00000037820	Tgm2	3.51E-09	-1.161130051	protein_coding	protein_coding	Downregulated
ENSMUSG00000085890	Tnfsf13os	0.0103787	-1.159191695	other	other	Downregulated
ENSMUSG00000038241	Cep250	2.32E-08	-1.158775573	protein_coding	protein_coding	Downregulated
ENSMUSG00000027654	Fam83d	1.83E-09	-1.158675663	protein_coding	protein_coding	Downregulated
ENSMUSG00000042404	Dennd4b	0.004280709	-1.158115113	protein_coding	protein_coding	Downregulated
ENSMUSG00000075502	Kbtbd6	0.002018424	-1.156817714	protein_coding	protein_coding	Downregulated
ENSMUSG00000033970	Rfc3	2.22E-08	-1.15476936	protein_coding	protein_coding	Downregulated
ENSMUSG00000043154	Ppp2r3a	0.005816798	-1.154494092	protein_coding	protein_coding	Downregulated
ENSMUSG00000039145	Camk1d	1.49E-10	-1.154396461	protein_coding	protein_coding	Downregulated
ENSMUSG00000040204	2810417H13Rik	0.00027227	-1.151463781	protein_coding	protein_coding	Downregulated
ENSMUSG00000023008	Fmnl3	0.000551655	-1.150694031	protein_coding	protein_coding	Downregulated
ENSMUSG00000059939	9430015G10Rik	2.18E-06	-1.150083244	protein_coding	protein_coding	Downregulated
ENSMUSG00000031403	Dkc1	4.63E-07	-1.148761333	protein_coding	protein_coding	Downregulated
ENSMUSG00000031557	Plekha2	0.001734207	-1.148294464	protein_coding	protein_coding	Downregulated
ENSMUSG00000006398	Cdc20	4.21E-06	-1.147607438	protein_coding	protein_coding	Downregulated
ENSMUSG00000098132	Rassf10	0.007703433	-1.147602124	protein_coding	protein_coding	Downregulated
ENSMUSG00000061718	Ppp1r1b	2.76E-06	-1.147252179	protein_coding	protein_coding	Downregulated
ENSMUSG00000051444	Bbs12	0.009479196	-1.146290103	protein_coding	protein_coding	Downregulated
ENSMUSG00000058392	Rrp1b	3.25E-05	-1.144986569	protein_coding	protein_coding	Downregulated
ENSMUSG00000029363	Rfc5	2.12E-08	-1.144738102	protein_coding	protein_coding	Downregulated
ENSMUSG00000028457	Atp8b5	0.005138428	-1.143583216	protein_coding	protein_coding	Downregulated
ENSMUSG00000036109	Mbnl3	0.004988416	-1.143352604	protein_coding	protein_coding	Downregulated
ENSMUSG00000047230	Cldn2	1.95E-11	-1.141382606	protein_coding	protein_coding	Downregulated
ENSMUSG00000031626	Sorbs2	0.000368097	-1.140275064	protein_coding	protein_coding	Downregulated
ENSMUSG00000054717	Hmgb2	0.0008688	-1.139451271	protein_coding	protein_coding	Downregulated
ENSMUSG00000002297	Dbf4	2.43E-11	-1.138277053	protein_coding	protein_coding	Downregulated
ENSMUSG00000035561	Aldh1b1	2.41E-09	-1.138228782	protein_coding	protein_coding	Downregulated
ENSMUSG00000076437	Selenoh	0.006602983	-1.136535726	protein_coding	protein_coding	Downregulated
ENSMUSG00000019813	Cep57l1	1.40E-05	-1.134417867	protein_coding	protein_coding	Downregulated
ENSMUSG00000025026	Add3	1.24E-10	-1.132411101	protein_coding	protein_coding	Downregulated
ENSMUSG00000024691	Fam111a	5.03E-06	-1.131369734	protein_coding	protein_coding	Downregulated
ENSMUSG00000020471	Pold2	8.05E-06	-1.129438875	protein_coding	protein_coding	Downregulated
ENSMUSG00000025507	Pidd1	0.001140518	-1.128735201	protein_coding	protein_coding	Downregulated
ENSMUSG00000070348	Ccnd1	4.93E-06	-1.128541269	protein_coding	protein_coding	Downregulated
ENSMUSG00000093606	B130034C11Rik	0.007850286	-1.128196503	other	other	Downregulated
ENSMUSG00000047749	Zc3hav1l	0.024712831	-1.127766075	protein_coding	protein_coding	Downregulated
ENSMUSG00000024978	Gpam	3.75E-11	-1.127324137	protein_coding	protein_coding	Downregulated
ENSMUSG00000039055	Eme1	0.000669363	-1.126767093	protein_coding	protein_coding	Downregulated
ENSMUSG00000028633	Ctps	7.15E-09	-1.126141968	protein_coding	protein_coding	Downregulated
ENSMUSG00000038578	Susd1	2.06E-06	-1.125815131	protein_coding	protein_coding	Downregulated
ENSMUSG00000045817	Zfp36l2	0.009333496	-1.125521502	protein_coding	protein_coding	Downregulated
ENSMUSG00000050520	Cldn8	0.011872827	-1.125048313	protein_coding	protein_coding	Downregulated
ENSMUSG00000029247	Paics	1.19E-05	-1.124990816	protein_coding	protein_coding	Downregulated
ENSMUSG00000026134	Prim2	1.67E-05	-1.124952378	protein_coding	protein_coding	Downregulated
ENSMUSG00000020381	3010026O09Rik	4.34E-05	-1.123853297	protein_coding	protein_coding	Downregulated
ENSMUSG00000036022	Fam122b	4.80E-08	-1.123452339	protein_coding	protein_coding	Downregulated
ENSMUSG00000074863	Platr25	0.015489434	-1.12287872	lincRNA	lincRNA	Downregulated
ENSMUSG00000025742	Prps2	5.90E-11	-1.122417756	protein_coding	protein_coding	Downregulated
ENSMUSG00000030199	Etv6	1.46E-06	-1.120265151	protein_coding	protein_coding	Downregulated
ENSMUSG00000090115	Usp49	6.83E-05	-1.120237346	protein_coding	protein_coding	Downregulated
ENSMUSG00000033278	Ptprm	0.00784058	-1.118988448	protein_coding	protein_coding	Downregulated
ENSMUSG00000017009	Sdc4	1.70E-06	-1.117053099	protein_coding	protein_coding	Downregulated
ENSMUSG00000029596	Sdsl	0.000399258	-1.116939456	protein_coding	protein_coding	Downregulated
ENSMUSG00000021048	Mthfd1	9.46E-11	-1.116258015	protein_coding	protein_coding	Downregulated
ENSMUSG00000027860	Vangl1	4.14E-05	-1.115974299	protein_coding	protein_coding	Downregulated
ENSMUSG00000028884	Rpa2	4.75E-06	-1.114898556	protein_coding	protein_coding	Downregulated
ENSMUSG00000028693	Nasp	1.54E-06	-1.113266316	protein_coding	protein_coding	Downregulated
ENSMUSG00000036327	Qsox2	5.11E-07	-1.111508099	protein_coding	protein_coding	Downregulated
ENSMUSG00000078185	Chml	2.13E-06	-1.109905444	protein_coding	protein_coding	Downregulated
ENSMUSG00000001525	Tubb5	3.24E-05	-1.109839869	protein_coding	protein_coding	Downregulated
ENSMUSG00000047221	Fam185a	1.34E-06	-1.109330394	protein_coding	protein_coding	Downregulated
ENSMUSG00000030303	Far2	5.59E-09	-1.108776554	protein_coding	protein_coding	Downregulated
ENSMUSG00000022962	Gart	2.91E-10	-1.10820182	protein_coding	protein_coding	Downregulated
ENSMUSG00000024177	Nme4	0.002566102	-1.10652543	protein_coding	protein_coding	Downregulated
ENSMUSG00000055485	Soga1	0.014478413	-1.105869356	protein_coding	protein_coding	Downregulated
ENSMUSG00000062248	Cks2	9.24E-06	-1.104426925	protein_coding	protein_coding	Downregulated
ENSMUSG00000014444	Piezo1	1.46E-07	-1.103908658	protein_coding	protein_coding	Downregulated
ENSMUSG00000024613	Tcof1	3.65E-10	-1.102163254	protein_coding	protein_coding	Downregulated
ENSMUSG00000021391	Cenpp	0.00142757	-1.101849067	protein_coding	protein_coding	Downregulated
ENSMUSG00000053931	Cnn3	0.000243744	-1.101068046	protein_coding	protein_coding	Downregulated
ENSMUSG00000071856	Mcc	0.003776747	-1.100651064	protein_coding	protein_coding	Downregulated
ENSMUSG00000032860	P2ry2	0.014327414	-1.100486301	protein_coding	protein_coding	Downregulated
ENSMUSG00000047044	D030056L22Rik	0.000461913	-1.098545302	protein_coding	protein_coding	Downregulated
ENSMUSG00000014786	Slc9a5	0.000990964	-1.09749747	protein_coding	protein_coding	Downregulated
ENSMUSG00000028040	Efna4	0.002966533	-1.097260914	protein_coding	protein_coding	Downregulated
ENSMUSG00000055629	B4galnt4	8.56E-05	-1.09424642	protein_coding	protein_coding	Downregulated
ENSMUSG00000031669	Gins3	0.000279145	-1.092286643	protein_coding	protein_coding	Downregulated
ENSMUSG00000058799	Nap1l1	3.92E-05	-1.092149196	protein_coding	protein_coding	Downregulated
ENSMUSG00000033826	Dnah8	0.001620809	-1.090891543	protein_coding	protein_coding	Downregulated
ENSMUSG00000032586	Traip	0.000325911	-1.090784434	protein_coding	protein_coding	Downregulated
ENSMUSG00000036805	Noxa1	0.006807771	-1.089557529	protein_coding	protein_coding	Downregulated
ENSMUSG00000028532	Cachd1	0.01296706	-1.088415237	protein_coding	protein_coding	Downregulated
ENSMUSG00000040195	Nemp1	0.000108646	-1.087991685	protein_coding	protein_coding	Downregulated
ENSMUSG00000042606	Hirip3	3.93E-05	-1.087837953	protein_coding	protein_coding	Downregulated
ENSMUSG00000023908	Pkmyt1	0.007227033	-1.087443572	protein_coding	protein_coding	Downregulated
mmu-miR-222-3p	mmu-miR-222-3p	0.00945	-1.087287529	miRNA	NA	Downregulated
ENSMUSG00000021811	Dnajc9	0.000674688	-1.087212747	protein_coding	protein_coding	Downregulated
ENSMUSG00000030029	Lrig1	1.76E-08	-1.086779254	protein_coding	protein_coding	Downregulated
ENSMUSG00000097284	4930480K23Rik	0.029478758	-1.084772727	lincRNA	lincRNA	Downregulated
ENSMUSG00000066438	Plekhd1	0.00239217	-1.084733905	protein_coding	protein_coding	Downregulated
ENSMUSG00000028573	Fggy	0.039279287	-1.084206962	protein_coding	protein_coding	Downregulated
ENSMUSG00000027684	Mecom	0.022710378	-1.083941871	protein_coding	protein_coding	Downregulated
ENSMUSG00000020937	Plcd3	0.006141032	-1.083215415	protein_coding	protein_coding	Downregulated
MSTRG.48648	MSTRG.48648	0.003090671	-1.082661019	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000055493	Epm2a	0.002023843	-1.082243219	protein_coding	protein_coding	Downregulated
ENSMUSG00000037419	Endod1	7.06E-08	-1.081505718	protein_coding	protein_coding	Downregulated
ENSMUSG00000000594	Gm2a	0.000927516	-1.08126375	protein_coding	protein_coding	Downregulated
ENSMUSG00000027641	Rbl1	1.09E-09	-1.078467683	protein_coding	protein_coding	Downregulated
ENSMUSG00000026398	Nr5a2	4.69E-07	-1.077696277	protein_coding	protein_coding	Downregulated
ENSMUSG00000025403	Shmt2	4.72E-05	-1.076839341	protein_coding	protein_coding	Downregulated
ENSMUSG00000005370	Msh6	2.04E-10	-1.076293877	protein_coding	protein_coding	Downregulated
ENSMUSG00000037628	Cdkn3	6.20E-08	-1.075687412	protein_coding	protein_coding	Downregulated
ENSMUSG00000069910	Spdl1	6.54E-06	-1.075417246	protein_coding	protein_coding	Downregulated
ENSMUSG00000064493	Snora28	0.026451667	-1.075286396	other	other	Downregulated
ENSMUSG00000050410	Tcf19	0.001039261	-1.074661493	protein_coding	protein_coding	Downregulated
ENSMUSG00000028282	Casp8ap2	0.008377971	-1.074628493	protein_coding	protein_coding	Downregulated
ENSMUSG00000000555	Itga5	0.000124081	-1.074540535	protein_coding	protein_coding	Downregulated
ENSMUSG00000030722	Nfatc2ip	1.22E-05	-1.073180486	protein_coding	protein_coding	Downregulated
ENSMUSG00000024431	Nr3c1	4.80E-10	-1.07279801	protein_coding	protein_coding	Downregulated
ENSMUSG00000022253	Nadk2	8.66E-08	-1.070948953	protein_coding	protein_coding	Downregulated
ENSMUSG00000036304	Zdhhc23	5.57E-05	-1.070044517	protein_coding	protein_coding	Downregulated
ENSMUSG00000022748	Cmss1	7.39E-07	-1.070020648	protein_coding	protein_coding	Downregulated
ENSMUSG00000027763	Mbnl1	4.51E-09	-1.068222431	protein_coding	protein_coding	Downregulated
ENSMUSG00000022346	Myc	0.001638226	-1.068047536	protein_coding	protein_coding	Downregulated
ENSMUSG00000037544	Dlgap5	8.89E-06	-1.067162429	protein_coding	protein_coding	Downregulated
ENSMUSG00000031987	Egln1	0.000199162	-1.064717606	protein_coding	protein_coding	Downregulated
ENSMUSG00000024791	Cdca5	1.02E-06	-1.064352153	protein_coding	protein_coding	Downregulated
ENSMUSG00000025271	Pfkfb1	0.000325911	-1.063484883	protein_coding	protein_coding	Downregulated
ENSMUSG00000032902	Slc16a1	2.11E-05	-1.063480182	protein_coding	protein_coding	Downregulated
ENSMUSG00000022489	Pde1b	0.000575907	-1.062104505	protein_coding	protein_coding	Downregulated
ENSMUSG00000074876	Spata5l1	0.017810978	-1.060936131	other	other	Downregulated
ENSMUSG00000030513	Pcsk6	0.000325632	-1.060819075	protein_coding	protein_coding	Downregulated
ENSMUSG00000022978	Mis18a	0.000287	-1.060243287	protein_coding	protein_coding	Downregulated
ENSMUSG00000030677	Kif22	1.77E-05	-1.059519161	protein_coding	protein_coding	Downregulated
ENSMUSG00000020648	Dus4l	6.40E-07	-1.059359883	protein_coding	protein_coding	Downregulated
ENSMUSG00000085105	Gm12758	0.024318137	-1.059068939	other	other	Downregulated
ENSMUSG00000006715	Gmnn	4.90E-07	-1.058914168	protein_coding	protein_coding	Downregulated
ENSMUSG00000036523	Greb1	0.00218425	-1.058421805	protein_coding	protein_coding	Downregulated
