target_id	gene_name	qval	log2fc	final_annotation	final_annotation.y	direction	Mouse Ensembl	Human Ensembl
ENSMUSG00000008575	Nfib	1.6299999999999998e-10	-1.2293512659999999	protein_coding	protein_coding	Downregulated	ENSMUSG00000008575	ENSG00000147862
ENSMUSG00000018548	Trim37	9.47e-11	-1.228842872	protein_coding	protein_coding	Downregulated	ENSMUSG00000018548	ENSG00000108395
ENSMUSG00000043015	Nemp2	5.720000000000001e-05	-1.228663812	protein_coding	protein_coding	Downregulated	ENSMUSG00000043015	ENSG00000189362
ENSMUSG00000028614	Ndc1	1.8299999999999999e-09	-1.227548147	protein_coding	protein_coding	Downregulated	ENSMUSG00000028614	ENSG00000058804
ENSMUSG00000033031	C330027C09Rik	2.1e-08	-1.2274355190000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000033031	ENSG00000163507
ENSMUSG00000052062	Pard3b	1.52e-08	-1.2258619309999998	protein_coding	protein_coding	Downregulated	ENSMUSG00000052062	ENSG00000116117
ENSMUSG00000003541	Ier3	4.3299999999999995e-11	-1.224618931	protein_coding	protein_coding	Downregulated	ENSMUSG00000003541	ENSG00000206478; ENSG00000137331; ENSG00000237155; ENSG00000235030; ENSG00000230128; ENSG00000227231
ENSMUSG00000085614	1700123M08Rik	0.037466076	-1.224598943	other	other	Downregulated		
ENSMUSG00000110105	Vmn2r29	0.027943994	-1.223998836	protein_coding	protein_coding	Downregulated		
ENSMUSG00000033857	Engase	2.96e-08	-1.22325386	protein_coding	protein_coding	Downregulated	ENSMUSG00000033857	ENSG00000167280
ENSMUSG00000026321	Tnfrsf11a	1.56e-06	-1.222455132	protein_coding	protein_coding	Downregulated	ENSMUSG00000026321	ENSG00000141655
ENSMUSG00000087366	Junos	0.019545931000000002	-1.220669448	other	other	Downregulated		
ENSMUSG00000027496	Aurka	6.18e-10	-1.220605486	protein_coding	protein_coding	Downregulated	ENSMUSG00000027496	ENSG00000087586
ENSMUSG00000029246	Ppat	5.24e-06	-1.220115324	protein_coding	protein_coding	Downregulated	ENSMUSG00000029246	ENSG00000128059
ENSMUSG00000097571	Jpx	0.008166672	-1.216588258	lincRNA	lincRNA	Downregulated		
MSTRG.15523	MSTRG.15523	0.042498669	-1.214161274	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000023066	Rttn	1.8700000000000002e-08	-1.21355963	protein_coding	protein_coding	Downregulated	ENSMUSG00000023066	ENSG00000176225
ENSMUSG00000026017	Carf	0.007086281999999999	-1.213389832	protein_coding	protein_coding	Downregulated	ENSMUSG00000026017	ENSG00000138380
ENSMUSG00000069184	Zfp72	9.15e-05	-1.2129732020000001	protein_coding	protein_coding	Downregulated		
ENSMUSG00000042215	Bag2	2.94e-05	-1.212739961	protein_coding	protein_coding	Downregulated	ENSMUSG00000042215	ENSG00000112208
ENSMUSG00000047003	Zfp41	2.77e-06	-1.2123531909999998	protein_coding	protein_coding	Downregulated	ENSMUSG00000047003	ENSG00000181638
ENSMUSG00000009575	Cbx5	9.83e-13	-1.209738824	protein_coding	protein_coding	Downregulated	ENSMUSG00000009575	ENSG00000094916
ENSMUSG00000027381	Bcl2l11	0.000387225	-1.2093521040000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000027381	ENSG00000153094
ENSMUSG00000033871	Ppargc1b	6.090000000000001e-10	-1.2092079059999998	protein_coding	protein_coding	Downregulated	ENSMUSG00000033871	ENSG00000155846
ENSMUSG00000072082	Ccnf	1.25e-09	-1.207147491	protein_coding	protein_coding	Downregulated	ENSMUSG00000072082	ENSG00000162063
ENSMUSG00000021831	Ero1l	0.012669747	-1.206755408	protein_coding	protein_coding	Downregulated	ENSMUSG00000021831	ENSG00000197930
ENSMUSG00000022436	Sh3bp1	0.001265406	-1.206140913	protein_coding	protein_coding	Downregulated	ENSMUSG00000022436	ENSG00000100092
ENSMUSG00000022436	Sh3bp1	0.001265406	-1.206140913	protein_coding	protein_coding	Downregulated	ENSMUSG00000022436	ENSG00000241360
ENSMUSG00000023004	Tuba1b	6.92e-07	-1.205954495	protein_coding	protein_coding	Downregulated	ENSMUSG00000023004	ENSG00000123416
ENSMUSG00000058216	Gstp3	0.043369634000000004	-1.205141515	protein_coding	protein_coding	Downregulated		
ENSMUSG00000021221	Dpf3	0.028344436	-1.204218933	protein_coding	protein_coding	Downregulated	ENSMUSG00000021221	ENSG00000205683
ENSMUSG00000038252	Ncapd2	1.84e-05	-1.20410078	protein_coding	protein_coding	Downregulated	ENSMUSG00000038252	ENSG00000010292
ENSMUSG00000021684	Pde8b	0.000495501	-1.203928336	protein_coding	protein_coding	Downregulated		
ENSMUSG00000097577	6230400D17Rik	0.020245944	-1.203917692	lincRNA	lincRNA	Downregulated		
ENSMUSG00000001403	Ube2c	0.0031438309999999997	-1.200280563	protein_coding	protein_coding	Downregulated	ENSMUSG00000001403	ENSG00000175063
ENSMUSG00000026784	Pdss1	1.37e-06	-1.1999176040000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000026784	ENSG00000148459
ENSMUSG00000041431	Ccnb1	2.41e-12	-1.1973248459999999	protein_coding	protein_coding	Downregulated	ENSMUSG00000041431	ENSG00000134057
ENSMUSG00000040860	Crocc	0.0032550129999999997	-1.196836821	protein_coding	protein_coding	Downregulated	ENSMUSG00000040860	ENSG00000058453
ENSMUSG00000028066	Pmf1	0.000158905	-1.195751064	protein_coding	protein_coding	Downregulated	ENSMUSG00000028066	ENSG00000260238; ENSG00000160783
ENSMUSG00000020330	Hmmr	1.7000000000000001e-09	-1.19534609	protein_coding	protein_coding	Downregulated	ENSMUSG00000020330	ENSG00000072571
ENSMUSG00000040034	Nup43	1.06e-09	-1.195063085	protein_coding	protein_coding	Downregulated	ENSMUSG00000040034	ENSG00000120253
ENSMUSG00000039509	Nup133	1.9800000000000001e-10	-1.194777225	protein_coding	protein_coding	Downregulated	ENSMUSG00000039509	ENSG00000069248
ENSMUSG00000032409	Atr	3.85e-08	-1.19224631	protein_coding	protein_coding	Downregulated	ENSMUSG00000032409	ENSG00000175054
ENSMUSG00000086503	Xist	5.21e-06	-1.1916027390000001	lincRNA	lincRNA	Downregulated		
mmu-miR-3105-3p	mmu-miR-3105-3p	0.0495	-1.191093188	miRNA		Downregulated		
ENSMUSG00000042851	Zc3h6	6.429999999999999e-07	-1.190787286	protein_coding	protein_coding	Downregulated	ENSMUSG00000042851	ENSG00000188177
ENSMUSG00000020846	Rflnb	0.000460605	-1.188264222	protein_coding	protein_coding	Downregulated	ENSMUSG00000020846	ENSG00000183688; ENSG00000283979
ENSMUSG00000057541	Pus7	1.77e-08	-1.1877271390000002	protein_coding	protein_coding	Downregulated	ENSMUSG00000057541	ENSG00000091127
ENSMUSG00000046711	Hmga1	1.88e-05	-1.1874162940000001	protein_coding	protein_coding	Downregulated		
ENSMUSG00000074802	Gas2l3	6.56e-11	-1.186084761	protein_coding	protein_coding	Downregulated	ENSMUSG00000074802	ENSG00000139354
ENSMUSG00000019845	Tube1	0.004024712	-1.185808059	protein_coding	protein_coding	Downregulated	ENSMUSG00000019845	ENSG00000074935
ENSMUSG00000045327	6330549D23Rik	0.008143474	-1.184983249	other	other	Downregulated		
ENSMUSG00000027490	E2f1	5.12e-07	-1.1849633529999999	protein_coding	protein_coding	Downregulated	ENSMUSG00000027490	ENSG00000101412
ENSMUSG00000017716	Birc5	1.6e-11	-1.184713876	protein_coding	protein_coding	Downregulated	ENSMUSG00000017716	ENSG00000089685
ENSMUSG00000087367	Gm15491	0.047680797000000004	-1.1845643540000002	other	other	Downregulated		
ENSMUSG00000054321	Taf4b	8.890000000000001e-07	-1.184170735	protein_coding	protein_coding	Downregulated	ENSMUSG00000054321	ENSG00000141384
ENSMUSG00000036223	Ska1	1.25e-06	-1.183963101	protein_coding	protein_coding	Downregulated	ENSMUSG00000036223	ENSG00000154839; ENSG00000262634
ENSMUSG00000029910	Mad2l1	1.94e-12	-1.183462581	protein_coding	protein_coding	Downregulated	ENSMUSG00000029910	ENSG00000164109
ENSMUSG00000026259	Ngef	2.15e-11	-1.179683868	protein_coding	protein_coding	Downregulated	ENSMUSG00000026259	ENSG00000066248
ENSMUSG00000051235	Gen1	0.000284867	-1.179248499	protein_coding	protein_coding	Downregulated	ENSMUSG00000051235	ENSG00000178295
ENSMUSG00000040658	Dnph1	8.92e-05	-1.178839033	protein_coding	protein_coding	Downregulated		
ENSMUSG00000040918	Slc19a2	1.2699999999999999e-07	-1.177946409	protein_coding	protein_coding	Downregulated	ENSMUSG00000040918	ENSG00000117479
ENSMUSG00000028832	Stmn1	0.003932201	-1.177454678	protein_coding	protein_coding	Downregulated	ENSMUSG00000028832	ENSG00000117632
ENSMUSG00000024660	Incenp	3.68e-08	-1.175296766	protein_coding	protein_coding	Downregulated	ENSMUSG00000024660	ENSG00000149503
ENSMUSG00000028551	Cdkn2c	2.4299999999999998e-05	-1.1742806559999999	protein_coding	protein_coding	Downregulated	ENSMUSG00000028551	ENSG00000123080
ENSMUSG00000030671	Pde3b	0.001745078	-1.1741623970000001	protein_coding	protein_coding	Downregulated		
ENSMUSG00000045328	Cenpe	0.00047287	-1.173150696	protein_coding	protein_coding	Downregulated	ENSMUSG00000045328	ENSG00000138778
ENSMUSG00000045932	Ifit2	0.013447036	-1.171898673	protein_coding	protein_coding	Downregulated	ENSMUSG00000045932	ENSG00000119922
ENSMUSG00000047757	Fancb	3.02e-06	-1.171115802	protein_coding	protein_coding	Downregulated	ENSMUSG00000047757	ENSG00000181544
ENSMUSG00000034349	Smc4	1.1299999999999999e-08	-1.170797589	protein_coding	protein_coding	Downregulated	ENSMUSG00000034349	ENSG00000113810
ENSMUSG00000025019	Lcor	0.018869328	-1.1700353490000002	protein_coding	protein_coding	Downregulated	ENSMUSG00000025019	ENSG00000196233
MSTRG.11781	MSTRG.11781	0.010283812	-1.169409463	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000034311	Kif4	3.63e-05	-1.169253412	protein_coding	protein_coding	Downregulated	ENSMUSG00000034311	ENSG00000090889
ENSMUSG00000034311	Kif4	3.63e-05	-1.169253412	protein_coding	protein_coding	Downregulated	ENSMUSG00000034311	ENSG00000226650
ENSMUSG00000000751	Rpa1	1.1e-11	-1.166934436	protein_coding	protein_coding	Downregulated	ENSMUSG00000000751	ENSG00000132383
ENSMUSG00000003779	Kif20a	6.790000000000001e-09	-1.165931287	protein_coding	protein_coding	Downregulated	ENSMUSG00000003779	ENSG00000112984
ENSMUSG00000028572	Hook1	8.15e-06	-1.164940975	protein_coding	protein_coding	Downregulated	ENSMUSG00000028572	ENSG00000134709
ENSMUSG00000027605	Acss2	0.008164992	-1.164213067	protein_coding	protein_coding	Downregulated	ENSMUSG00000027605	ENSG00000131069
ENSMUSG00000021830	Txndc16	0.00900239	-1.163511857	protein_coding	protein_coding	Downregulated	ENSMUSG00000021830	ENSG00000087301
ENSMUSG00000007379	Dennd2c	0.000572612	-1.1622214290000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000007379	ENSG00000175984
ENSMUSG00000037820	Tgm2	3.5100000000000005e-09	-1.161130051	protein_coding	protein_coding	Downregulated	ENSMUSG00000037820	ENSG00000198959
ENSMUSG00000085890	Tnfsf13os	0.010378700000000001	-1.159191695	other	other	Downregulated		
ENSMUSG00000038241	Cep250	2.32e-08	-1.158775573	protein_coding	protein_coding	Downregulated	ENSMUSG00000038241	ENSG00000126001
ENSMUSG00000027654	Fam83d	1.8299999999999999e-09	-1.158675663	protein_coding	protein_coding	Downregulated	ENSMUSG00000027654	ENSG00000101447
ENSMUSG00000042404	Dennd4b	0.004280709000000001	-1.158115113	protein_coding	protein_coding	Downregulated	ENSMUSG00000042404	ENSG00000198837
ENSMUSG00000075502	Kbtbd6	0.002018424	-1.156817714	protein_coding	protein_coding	Downregulated		
ENSMUSG00000033970	Rfc3	2.2200000000000004e-08	-1.15476936	protein_coding	protein_coding	Downregulated	ENSMUSG00000033970	ENSG00000133119
ENSMUSG00000043154	Ppp2r3a	0.005816798000000001	-1.154494092	protein_coding	protein_coding	Downregulated		
ENSMUSG00000039145	Camk1d	1.49e-10	-1.154396461	protein_coding	protein_coding	Downregulated	ENSMUSG00000039145	ENSG00000183049
ENSMUSG00000040204	2810417H13Rik	0.00027227	-1.151463781	protein_coding	protein_coding	Downregulated	ENSMUSG00000040204	ENSG00000166803
ENSMUSG00000023008	Fmnl3	0.000551655	-1.150694031	protein_coding	protein_coding	Downregulated	ENSMUSG00000023008	ENSG00000161791
ENSMUSG00000059939	9430015G10Rik	2.18e-06	-1.150083244	protein_coding	protein_coding	Downregulated	ENSMUSG00000059939	ENSG00000131591
ENSMUSG00000031403	Dkc1	4.6299999999999995e-07	-1.148761333	protein_coding	protein_coding	Downregulated	ENSMUSG00000031403	ENSG00000130826
ENSMUSG00000031557	Plekha2	0.0017342070000000002	-1.1482944640000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000031557	ENSG00000169499
ENSMUSG00000006398	Cdc20	4.21e-06	-1.1476074379999999	protein_coding	protein_coding	Downregulated	ENSMUSG00000006398	ENSG00000117399
ENSMUSG00000098132	Rassf10	0.007703433000000001	-1.147602124	protein_coding	protein_coding	Downregulated	ENSMUSG00000098132	ENSG00000189431
ENSMUSG00000061718	Ppp1r1b	2.76e-06	-1.147252179	protein_coding	protein_coding	Downregulated	ENSMUSG00000061718	ENSG00000131771
ENSMUSG00000051444	Bbs12	0.009479196	-1.146290103	protein_coding	protein_coding	Downregulated	ENSMUSG00000051444	ENSG00000181004
ENSMUSG00000058392	Rrp1b	3.2500000000000004e-05	-1.144986569	protein_coding	protein_coding	Downregulated	ENSMUSG00000058392	ENSG00000160208
ENSMUSG00000029363	Rfc5	2.12e-08	-1.144738102	protein_coding	protein_coding	Downregulated	ENSMUSG00000029363	ENSG00000111445
ENSMUSG00000028457	Atp8b5	0.005138428	-1.143583216	protein_coding	protein_coding	Downregulated		
ENSMUSG00000036109	Mbnl3	0.004988416	-1.1433526040000002	protein_coding	protein_coding	Downregulated	ENSMUSG00000036109	ENSG00000076770
ENSMUSG00000047230	Cldn2	1.95e-11	-1.1413826059999999	protein_coding	protein_coding	Downregulated	ENSMUSG00000047230	ENSG00000165376
ENSMUSG00000031626	Sorbs2	0.00036809699999999996	-1.1402750640000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000031626	ENSG00000154556
ENSMUSG00000054717	Hmgb2	0.0008687999999999999	-1.139451271	protein_coding	protein_coding	Downregulated	ENSMUSG00000054717	ENSG00000164104
ENSMUSG00000002297	Dbf4	2.43e-11	-1.138277053	protein_coding	protein_coding	Downregulated	ENSMUSG00000002297	ENSG00000006634
ENSMUSG00000035561	Aldh1b1	2.41e-09	-1.138228782	protein_coding	protein_coding	Downregulated	ENSMUSG00000035561	ENSG00000137124
ENSMUSG00000076437	Selenoh	0.006602983000000001	-1.136535726	protein_coding	protein_coding	Downregulated	ENSMUSG00000076437	ENSG00000211450
ENSMUSG00000019813	Cep57l1	1.4000000000000001e-05	-1.134417867	protein_coding	protein_coding	Downregulated	ENSMUSG00000019813	ENSG00000183137
ENSMUSG00000025026	Add3	1.2399999999999999e-10	-1.132411101	protein_coding	protein_coding	Downregulated	ENSMUSG00000025026	ENSG00000148700
ENSMUSG00000024691	Fam111a	5.03e-06	-1.131369734	protein_coding	protein_coding	Downregulated	ENSMUSG00000024691	ENSG00000166801
ENSMUSG00000020471	Pold2	8.05e-06	-1.129438875	protein_coding	protein_coding	Downregulated	ENSMUSG00000020471	ENSG00000106628
ENSMUSG00000025507	Pidd1	0.001140518	-1.128735201	protein_coding	protein_coding	Downregulated	ENSMUSG00000025507	ENSG00000177595
ENSMUSG00000070348	Ccnd1	4.93e-06	-1.128541269	protein_coding	protein_coding	Downregulated	ENSMUSG00000070348	ENSG00000110092
ENSMUSG00000093606	B130034C11Rik	0.007850286	-1.128196503	other	other	Downregulated		
ENSMUSG00000047749	Zc3hav1l	0.024712831	-1.127766075	protein_coding	protein_coding	Downregulated	ENSMUSG00000047749	ENSG00000146858
ENSMUSG00000024978	Gpam	3.75e-11	-1.127324137	protein_coding	protein_coding	Downregulated	ENSMUSG00000024978	ENSG00000119927
ENSMUSG00000039055	Eme1	0.0006693630000000001	-1.126767093	protein_coding	protein_coding	Downregulated	ENSMUSG00000039055	ENSG00000154920
ENSMUSG00000028633	Ctps	7.1499999999999995e-09	-1.126141968	protein_coding	protein_coding	Downregulated	ENSMUSG00000028633	ENSG00000171793
ENSMUSG00000038578	Susd1	2.06e-06	-1.125815131	protein_coding	protein_coding	Downregulated	ENSMUSG00000038578	ENSG00000106868
ENSMUSG00000045817	Zfp36l2	0.009333496	-1.125521502	protein_coding	protein_coding	Downregulated	ENSMUSG00000045817	ENSG00000152518
ENSMUSG00000050520	Cldn8	0.011872826999999999	-1.125048313	protein_coding	protein_coding	Downregulated	ENSMUSG00000050520	ENSG00000156284
ENSMUSG00000029247	Paics	1.1900000000000001e-05	-1.124990816	protein_coding	protein_coding	Downregulated	ENSMUSG00000029247	ENSG00000128050
ENSMUSG00000026134	Prim2	1.67e-05	-1.124952378	protein_coding	protein_coding	Downregulated	ENSMUSG00000026134	ENSG00000146143
ENSMUSG00000020381	3010026O09Rik	4.34e-05	-1.1238532970000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000020381	ENSG00000161010; ENSG00000283918
ENSMUSG00000036022	Fam122b	4.8e-08	-1.123452339	protein_coding	protein_coding	Downregulated	ENSMUSG00000036022	ENSG00000156504
ENSMUSG00000074863	Platr25	0.015489434	-1.12287872	lincRNA	lincRNA	Downregulated		
ENSMUSG00000025742	Prps2	5.9e-11	-1.122417756	protein_coding	protein_coding	Downregulated	ENSMUSG00000025742	ENSG00000101911
ENSMUSG00000030199	Etv6	1.46e-06	-1.120265151	protein_coding	protein_coding	Downregulated	ENSMUSG00000030199	ENSG00000139083
ENSMUSG00000090115	Usp49	6.829999999999999e-05	-1.120237346	protein_coding	protein_coding	Downregulated	ENSMUSG00000090115	ENSG00000164663
ENSMUSG00000033278	Ptprm	0.00784058	-1.118988448	protein_coding	protein_coding	Downregulated	ENSMUSG00000033278	ENSG00000173482
ENSMUSG00000017009	Sdc4	1.7e-06	-1.117053099	protein_coding	protein_coding	Downregulated	ENSMUSG00000017009	ENSG00000124145
ENSMUSG00000029596	Sdsl	0.00039925800000000005	-1.1169394559999999	protein_coding	protein_coding	Downregulated	ENSMUSG00000029596	ENSG00000139410
ENSMUSG00000021048	Mthfd1	9.46e-11	-1.116258015	protein_coding	protein_coding	Downregulated	ENSMUSG00000021048	ENSG00000100714
ENSMUSG00000027860	Vangl1	4.14e-05	-1.1159742990000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000027860	ENSG00000173218
ENSMUSG00000028884	Rpa2	4.75e-06	-1.114898556	protein_coding	protein_coding	Downregulated	ENSMUSG00000028884	ENSG00000117748
ENSMUSG00000028693	Nasp	1.54e-06	-1.113266316	protein_coding	protein_coding	Downregulated	ENSMUSG00000028693	ENSG00000132780
ENSMUSG00000036327	Qsox2	5.110000000000001e-07	-1.1115080990000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000036327	ENSG00000165661
ENSMUSG00000078185	Chml	2.13e-06	-1.109905444	protein_coding	protein_coding	Downregulated	ENSMUSG00000078185	ENSG00000203668
ENSMUSG00000001525	Tubb5	3.24e-05	-1.109839869	protein_coding	protein_coding	Downregulated	ENSMUSG00000001525	ENSG00000232421; ENSG00000229684; ENSG00000183311; ENSG00000235067; ENSG00000232575; ENSG00000224156; ENSG00000196230; ENSG00000227739
ENSMUSG00000047221	Fam185a	1.34e-06	-1.109330394	protein_coding	protein_coding	Downregulated	ENSMUSG00000047221	ENSG00000222011
ENSMUSG00000030303	Far2	5.589999999999999e-09	-1.108776554	protein_coding	protein_coding	Downregulated	ENSMUSG00000030303	ENSG00000064763
ENSMUSG00000022962	Gart	2.9100000000000003e-10	-1.10820182	protein_coding	protein_coding	Downregulated	ENSMUSG00000022962	ENSG00000262473; ENSG00000159131
ENSMUSG00000024177	Nme4	0.0025661020000000002	-1.10652543	protein_coding	protein_coding	Downregulated	ENSMUSG00000024177	ENSG00000103202
ENSMUSG00000055485	Soga1	0.014478413	-1.105869356	protein_coding	protein_coding	Downregulated	ENSMUSG00000055485	ENSG00000149639
ENSMUSG00000062248	Cks2	9.24e-06	-1.104426925	protein_coding	protein_coding	Downregulated	ENSMUSG00000062248	ENSG00000123975
ENSMUSG00000014444	Piezo1	1.4599999999999998e-07	-1.103908658	protein_coding	protein_coding	Downregulated	ENSMUSG00000014444	ENSG00000103335
ENSMUSG00000024613	Tcof1	3.65e-10	-1.1021632540000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000024613	ENSG00000070814
ENSMUSG00000021391	Cenpp	0.00142757	-1.101849067	protein_coding	protein_coding	Downregulated	ENSMUSG00000021391	ENSG00000188312
ENSMUSG00000053931	Cnn3	0.000243744	-1.101068046	protein_coding	protein_coding	Downregulated	ENSMUSG00000053931	ENSG00000117519
ENSMUSG00000071856	Mcc	0.003776747	-1.100651064	protein_coding	protein_coding	Downregulated	ENSMUSG00000071856	ENSG00000171444
ENSMUSG00000032860	P2ry2	0.014327413999999998	-1.100486301	protein_coding	protein_coding	Downregulated	ENSMUSG00000032860	ENSG00000175591
ENSMUSG00000047044	D030056L22Rik	0.00046191300000000005	-1.098545302	protein_coding	protein_coding	Downregulated	ENSMUSG00000047044	ENSG00000135045
ENSMUSG00000014786	Slc9a5	0.000990964	-1.09749747	protein_coding	protein_coding	Downregulated	ENSMUSG00000014786	ENSG00000135740
ENSMUSG00000028040	Efna4	0.002966533	-1.097260914	protein_coding	protein_coding	Downregulated	ENSMUSG00000028040	ENSG00000243364
ENSMUSG00000055629	B4galnt4	8.56e-05	-1.09424642	protein_coding	protein_coding	Downregulated	ENSMUSG00000055629	ENSG00000182272
ENSMUSG00000031669	Gins3	0.000279145	-1.092286643	protein_coding	protein_coding	Downregulated	ENSMUSG00000031669	ENSG00000181938
ENSMUSG00000058799	Nap1l1	3.9200000000000004e-05	-1.092149196	protein_coding	protein_coding	Downregulated	ENSMUSG00000058799	ENSG00000187109
ENSMUSG00000033826	Dnah8	0.001620809	-1.090891543	protein_coding	protein_coding	Downregulated	ENSMUSG00000033826	ENSG00000124721
ENSMUSG00000032586	Traip	0.00032591099999999996	-1.0907844340000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000032586	ENSG00000183763
ENSMUSG00000036805	Noxa1	0.006807771	-1.0895575290000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000036805	ENSG00000188747
ENSMUSG00000028532	Cachd1	0.01296706	-1.088415237	protein_coding	protein_coding	Downregulated	ENSMUSG00000028532	ENSG00000158966
ENSMUSG00000040195	Nemp1	0.000108646	-1.087991685	protein_coding	protein_coding	Downregulated	ENSMUSG00000040195	ENSG00000166881
ENSMUSG00000042606	Hirip3	3.929999999999999e-05	-1.087837953	protein_coding	protein_coding	Downregulated	ENSMUSG00000042606	ENSG00000149929
ENSMUSG00000023908	Pkmyt1	0.007227033000000001	-1.087443572	protein_coding	protein_coding	Downregulated	ENSMUSG00000023908	ENSG00000127564
mmu-miR-222-3p	mmu-miR-222-3p	0.00945	-1.0872875290000001	miRNA		Downregulated		
ENSMUSG00000021811	Dnajc9	0.000674688	-1.087212747	protein_coding	protein_coding	Downregulated	ENSMUSG00000021811	ENSG00000213551
ENSMUSG00000030029	Lrig1	1.76e-08	-1.086779254	protein_coding	protein_coding	Downregulated	ENSMUSG00000030029	ENSG00000282243; ENSG00000144749
ENSMUSG00000097284	4930480K23Rik	0.029478757999999997	-1.084772727	lincRNA	lincRNA	Downregulated		
ENSMUSG00000066438	Plekhd1	0.00239217	-1.084733905	protein_coding	protein_coding	Downregulated	ENSMUSG00000066438	ENSG00000175985
ENSMUSG00000028573	Fggy	0.039279287	-1.084206962	protein_coding	protein_coding	Downregulated	ENSMUSG00000028573	ENSG00000172456
ENSMUSG00000027684	Mecom	0.022710378	-1.083941871	protein_coding	protein_coding	Downregulated	ENSMUSG00000027684	ENSG00000085276
ENSMUSG00000020937	Plcd3	0.006141031999999999	-1.083215415	protein_coding	protein_coding	Downregulated	ENSMUSG00000020937	ENSG00000161714
MSTRG.48648	MSTRG.48648	0.0030906709999999997	-1.0826610190000001	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000055493	Epm2a	0.002023843	-1.082243219	protein_coding	protein_coding	Downregulated		
ENSMUSG00000037419	Endod1	7.06e-08	-1.081505718	protein_coding	protein_coding	Downregulated	ENSMUSG00000037419	ENSG00000149218
ENSMUSG00000000594	Gm2a	0.0009275160000000001	-1.08126375	protein_coding	protein_coding	Downregulated	ENSMUSG00000000594	ENSG00000196743
ENSMUSG00000027641	Rbl1	1.09e-09	-1.078467683	protein_coding	protein_coding	Downregulated	ENSMUSG00000027641	ENSG00000080839
ENSMUSG00000026398	Nr5a2	4.69e-07	-1.077696277	protein_coding	protein_coding	Downregulated	ENSMUSG00000026398	ENSG00000116833
ENSMUSG00000025403	Shmt2	4.72e-05	-1.076839341	protein_coding	protein_coding	Downregulated	ENSMUSG00000025403	ENSG00000182199
ENSMUSG00000005370	Msh6	2.0400000000000002e-10	-1.0762938770000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000005370	ENSG00000116062
ENSMUSG00000037628	Cdkn3	6.2e-08	-1.075687412	protein_coding	protein_coding	Downregulated	ENSMUSG00000037628	ENSG00000100526
ENSMUSG00000069910	Spdl1	6.54e-06	-1.075417246	protein_coding	protein_coding	Downregulated	ENSMUSG00000069910	ENSG00000040275
ENSMUSG00000064493	Snora28	0.026451667	-1.0752863959999999	other	other	Downregulated		
ENSMUSG00000050410	Tcf19	0.001039261	-1.074661493	protein_coding	protein_coding	Downregulated	ENSMUSG00000050410	ENSG00000233890; ENSG00000137310; ENSG00000224941; ENSG00000224472; ENSG00000224379; ENSG00000206455; ENSG00000234674
ENSMUSG00000028282	Casp8ap2	0.008377971	-1.074628493	protein_coding	protein_coding	Downregulated	ENSMUSG00000028282	ENSG00000118412
ENSMUSG00000000555	Itga5	0.000124081	-1.074540535	protein_coding	protein_coding	Downregulated	ENSMUSG00000000555	ENSG00000161638
ENSMUSG00000030722	Nfatc2ip	1.22e-05	-1.073180486	protein_coding	protein_coding	Downregulated	ENSMUSG00000030722	ENSG00000176953
ENSMUSG00000024431	Nr3c1	4.8e-10	-1.07279801	protein_coding	protein_coding	Downregulated	ENSMUSG00000024431	ENSG00000113580
ENSMUSG00000022253	Nadk2	8.660000000000001e-08	-1.070948953	protein_coding	protein_coding	Downregulated	ENSMUSG00000022253	ENSG00000152620
ENSMUSG00000036304	Zdhhc23	5.5700000000000005e-05	-1.0700445170000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000036304	ENSG00000184307
ENSMUSG00000022748	Cmss1	7.39e-07	-1.070020648	protein_coding	protein_coding	Downregulated	ENSMUSG00000022748	ENSG00000184220
ENSMUSG00000027763	Mbnl1	4.51e-09	-1.068222431	protein_coding	protein_coding	Downregulated	ENSMUSG00000027763	ENSG00000152601
ENSMUSG00000022346	Myc	0.001638226	-1.068047536	protein_coding	protein_coding	Downregulated	ENSMUSG00000022346	ENSG00000136997
ENSMUSG00000037544	Dlgap5	8.89e-06	-1.0671624290000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000037544	ENSG00000126787
ENSMUSG00000031987	Egln1	0.00019916200000000002	-1.0647176059999999	protein_coding	protein_coding	Downregulated	ENSMUSG00000031987	ENSG00000135766
ENSMUSG00000024791	Cdca5	1.02e-06	-1.064352153	protein_coding	protein_coding	Downregulated	ENSMUSG00000024791	ENSG00000146670
