Human.Uniprot	Human.Ensembl	Mouse.Uniprot	Mouse.Ensembl	Hum.gene.syb
P58182	ENSG00000280236	Q920Y8	ENSMUSG00000049618	OR12D2
P58182	ENSG00000235966	Q920Y8	ENSMUSG00000049618	OR12D2
Q9BQ16	ENSG00000196104	Q8BKV0	ENSMUSG00000054162	SPOCK3
Q9NRG0	ENSG00000104472	Q9JKP8	ENSMUSG00000068391	CHRAC1
Q12965	ENSG00000157483	E9Q634	ENSMUSG00000032220	MYO1E
Q9H267	ENSG00000184056	P59016	ENSMUSG00000030534	VPS33B
Q5FBB7	ENSG00000129810	Q9CXH7	ENSMUSG00000023940	SGO1
Q13639	ENSG00000164270	P97288	ENSMUSG00000026322	HTR4
Q92616	ENSG00000089154	E9PVA8	ENSMUSG00000041638	GCN1
Q8TBX8	ENSG00000166908	Q91XU3	ENSMUSG00000025417	PIP4K2C
H0Y3Z8	-	F6XX07	-	-
Q6P4I2	ENSG00000177082	Q9CWR1	ENSMUSG00000025722	WDR73
Q13886	ENSG00000119138	O35739	ENSMUSG00000033863	KLF9
O15296	ENSG00000179593	O35936	ENSMUSG00000020891	ALOX15B
O95832	ENSG00000163347	O88551	ENSMUSG00000022512	CLDN1
P05305	ENSG00000078401	P22387	ENSMUSG00000021367	EDN1
Q9BX63	ENSG00000136492	Q5SXJ3	ENSMUSG00000034329	BRIP1
A0PG75	ENSG00000231213	J3QM92	ENSMUSG00000095654	PLSCR5
Q6Q759	ENSG00000155761	Q5S003	ENSMUSG00000027867	SPAG17
Q9UQ10	ENSG00000104808	Q9DBB8	ENSMUSG00000011382	DHDH
Q96A09	ENSG00000158246	Q8C152	ENSMUSG00000046694	FAM46B
Q9UBR4	ENSG00000107187	P50481	ENSMUSG00000026934	LHX3
Q9UHV2	ENSG00000197019	Q9JL10	ENSMUSG00000008384	SERTAD1
O60888	ENSG00000226492	Q9CQ89	ENSMUSG00000024194	CUTA
O60888	ENSG00000112514	Q9CQ89	ENSMUSG00000024194	CUTA
Q9HCE0	ENSG00000152223	Q80TA9	ENSMUSG00000039840	EPG5
Q13061	ENSG00000186439	E9Q9K5	ENSMUSG00000019787	TRDN
Q05209	ENSG00000127947	P35831	ENSMUSG00000028771	PTPN12
O14757	ENSG00000149554	O35280	ENSMUSG00000032113	CHEK1
A8MTS3	-	Q8BUM6	ENSMUSG00000009216	-
Q8WXE1	ENSG00000164053	Q8BMG1	ENSMUSG00000025646	ATRIP
Q5W0Z9	ENSG00000180776	Q5Y5T1	ENSMUSG00000021969	ZDHHC20
P55268	ENSG00000172037	Q61292	ENSMUSG00000052911	LAMB2
Q8IUB5	ENSG00000168634	Q5DQQ6	ENSMUSG00000067704	WFDC13
Q8NGR8	ENSG00000171496	Q8VFP6	ENSMUSG00000075380	OR1L8
Q96LA9	ENSG00000179817	Q8CIP3	ENSMUSG00000070552	MRGPRX4
Q7L014	ENSG00000145833	Q569Z5	ENSMUSG00000021500	DDX46
Q495W5	ENSG00000196968	Q8BHC9	ENSMUSG00000039357	FUT11
O00141	ENSG00000118515	Q9WVC6	ENSMUSG00000019970	SGK1
O94768	ENSG00000081320	Q8BG48	ENSMUSG00000026094	STK17B
Q6ZSZ5	ENSG00000104880	Q6P9R4	ENSMUSG00000004568	ARHGEF18
Q96K17	ENSG00000134717	Q9CQH7	ENSMUSG00000028568	BTF3L4
Q8NGN7	-	Q7TRA9	ENSMUSG00000064110	OR10D4P
Q9HCE5	ENSG00000145388	Q3UIK4	ENSMUSG00000028114	METTL14
O14843	ENSG00000185897	Q3UFD7	ENSMUSG00000019429	FFAR3
Q9UPT9	ENSG00000124422	Q5DU02	ENSMUSG00000042506	USP22
Q6ZUT1	ENSG00000150776	E9PUQ3	ENSMUSG00000059820	NKAPD1
P50052	ENSG00000180772	P35374	ENSMUSG00000068122	AGTR2
Q9NSE2	ENSG00000114737	Q62225	ENSMUSG00000032578	CISH
A5PLN7	ENSG00000109794	Q8CFV2	ENSMUSG00000070044	FAM149A
P02750	ENSG00000171236	Q91XL1	ENSMUSG00000037095	LRG1
Q6IAN0	ENSG00000109016	Q99J47	ENSMUSG00000042569	DHRS7B
Q8NG98	ENSG00000174667	E9PVX1	ENSMUSG00000059623	OR7D4
Q1HG43	ENSG00000140254	Q8VE49	ENSMUSG00000027224	DUOXA1
Q9C0D6	ENSG00000137460	Q3ULZ2	ENSMUSG00000041842	FHDC1
Q8TE85	ENSG00000158055	Q5FWH3	ENSMUSG00000037188	GRHL3
Q5M7Z0	ENSG00000189050	Q9DCN7	ENSMUSG00000020521	RNFT1
Q6PCB7	ENSG00000130304	Q60714	ENSMUSG00000031808	SLC27A1
P13804	ENSG00000140374	Q99LC5	ENSMUSG00000032314	ETFA
P05015	ENSG00000147885	Q61718	ENSMUSG00000096011	IFNA16
P49795	ENSG00000171700	Q9CX84	ENSMUSG00000002458	RGS19
Q9NUJ1	ENSG00000144827	Q6PE15	ENSMUSG00000033157	ABHD10
Q9ULL8	ENSG00000158352	Q1W617	ENSMUSG00000068270	SHROOM4
P41161	ENSG00000244405	Q9CXC9	ENSMUSG00000013089	ETV5
Q9BWX1	ENSG00000010318	Q9DAG9	ENSMUSG00000021902	PHF7
P08949	ENSG00000197696	Q9CR53	ENSMUSG00000025723	NMB
Q7RTT3	ENSG00000204648	A2AHC7	ENSMUSG00000079699	SSX9
P0C7I0	ENSG00000237038	H9KUY1	-	USP17L8
Q9NWB6	ENSG00000134884	Q3UL36	ENSMUSG00000040459	ARGLU1
Q8NI36	ENSG00000134987	Q3TAQ9	ENSMUSG00000038299	WDR36
Q8WVI7	ENSG00000150722	Q8BKK4	ENSMUSG00000034683	PPP1R1C
Q86YC3	ENSG00000174004	Q8BMT4	ENSMUSG00000052384	NRROS
P32881	ENSG00000120242	Q80SU4	ENSMUSG00000063376	IFNA8
Q92956	ENSG00000273936	Q80WM9	ENSMUSG00000042333	TNFRSF14
Q92956	ENSG00000157873	Q80WM9	ENSMUSG00000042333	TNFRSF14
O15240	ENSG00000128564	Q0VGU4	ENSMUSG00000037428	VGF
Q96D70	ENSG00000198858	Q4VBF2	ENSMUSG00000035781	R3HDM4
Q96D42	ENSG00000113249	Q5QNS5	ENSMUSG00000040405	HAVCR1
Q9UN88	ENSG00000268089	Q9JLF1	ENSMUSG00000031344	GABRQ
P05014	ENSG00000236637	Q80SU4	ENSMUSG00000063376	IFNA4
A4D2P6	ENSG00000215045	Q0QWG9	ENSMUSG00000010825	GRID2IP
Q5D862	ENSG00000143520	Q2VIS4	ENSMUSG00000049133	FLG2
Q9NWK9	ENSG00000117174	Q3UFB2	ENSMUSG00000074182	ZNHIT6
P78423	ENSG00000006210	O35188	ENSMUSG00000031778	CX3CL1
Q9P203	ENSG00000277222	Q8CFE5	ENSMUSG00000041702	BTBD7
Q9P203	ENSG00000011114	Q8CFE5	ENSMUSG00000041702	BTBD7
Q8IVV2	ENSG00000167210	C8YR32	ENSMUSG00000032818	LOXHD1
P62258	ENSG00000108953	P62259	ENSMUSG00000020849	YWHAE
P62258	ENSG00000274474	P62259	ENSMUSG00000020849	YWHAE
O94772	ENSG00000274488	Q9WUC3	ENSMUSG00000022577	LY6H
O94772	ENSG00000176956	Q9WUC3	ENSMUSG00000022577	LY6H
P49790	ENSG00000124789	E9Q3G8	ENSMUSG00000021374	NUP153
O14662	ENSG00000124222	Q8BVI5	ENSMUSG00000027522	STX16
Q9HCE3	ENSG00000074657	Q6NXK2	ENSMUSG00000042439	ZNF532
Q92529	ENSG00000148082	Q61120	ENSMUSG00000021448	SHC3
Q5VUE5	ENSG00000203724	D3Z1T2	ENSMUSG00000079283	C1orf53
Q3SX64	ENSG00000181781	Q3TZ65	ENSMUSG00000035963	ODF3L2
Q8NG95	ENSG00000170920	Q7TRG9	ENSMUSG00000095957	OR7G3
O95236	ENSG00000128284	B2RT54	ENSMUSG00000010601	APOL3
Q8IYV9	ENSG00000182264	Q9D9J7	ENSMUSG00000064158	IZUMO1
P05015	ENSG00000147885	P01573	ENSMUSG00000078354	IFNA16
Q96D09	ENSG00000158301	Q8BUY8	ENSMUSG00000072966	GPRASP2
Q11201	ENSG00000008513	P54751	ENSMUSG00000013846	ST3GAL1
O75475	ENSG00000164985	Q99JF8	ENSMUSG00000028484	PSIP1
O15127	ENSG00000140497	Q9ERN0	ENSMUSG00000040188	SCAMP2
Q8NC51	ENSG00000142864	Q9CY58	ENSMUSG00000036371	SERBP1
P36383	ENSG00000182963	P28229	ENSMUSG00000034520	GJC1
Q13617	ENSG00000108094	Q9D4H8	ENSMUSG00000024231	CUL2
Q14508	ENSG00000101443	Q9DAU7	ENSMUSG00000017723	WFDC2
Q5JZY3	ENSG00000183317	Q8BYG9	ENSMUSG00000028876	EPHA10
Q8NGV0	ENSG00000174339	Q8VFA4	ENSMUSG00000101874	OR2Y1
Q6ZN57	ENSG00000198939	P08043	ENSMUSG00000049321	ZFP2
Q13474	ENSG00000102385	Q05AA6	ENSMUSG00000000223	DRP2
Q9Y6W6	ENSG00000143507	Q9ESS0	ENSMUSG00000039384	DUSP10
P53365	ENSG00000132254	Q8K221	ENSMUSG00000030881	ARFIP2
Q8NH63	ENSG00000176904	E9Q547	ENSMUSG00000073970	OR51H1
O75896	ENSG00000114383	Q9WVF8	ENSMUSG00000010054	TUSC2
Q5VW38	ENSG00000148358	Q8BUV8	ENSMUSG00000000194	GPR107
Q9H0M4	ENSG00000078487	Q6IR42	ENSMUSG00000037108	ZCWPW1
P04216	ENSG00000154096	P01831	ENSMUSG00000032011	THY1
Q96S82	ENSG00000138629	Q91W67	ENSMUSG00000055720	UBL7
H3BVH4	-	F7CLK7	-	-
Q9NZS9	ENSG00000275618	Q8R079	ENSMUSG00000079737	BFAR
Q9NZS9	ENSG00000275618	Q8R079	ENSMUSG00000022684	BFAR
Q9NZS9	ENSG00000103429	Q8R079	ENSMUSG00000079737	BFAR
Q9NZS9	ENSG00000103429	Q8R079	ENSMUSG00000022684	BFAR
Q9NVM4	ENSG00000132600	Q922X9	ENSMUSG00000060098	PRMT7
P28329	ENSG00000070748	Q03059	ENSMUSG00000021919	CHAT
P61109	-	P61110	ENSMUSG00000032758	-
A6NCQ9	ENSG00000189051	Q8CEF8	ENSMUSG00000046490	RNF222
O15130	ENSG00000139574	Q9WVA8	ENSMUSG00000023052	NPFF
P42772	ENSG00000147883	P55271	ENSMUSG00000073802	CDKN2B
Q8NGN3	ENSG00000254737	Q8VH10	ENSMUSG00000059473	OR10G4
Q9Y5B6	ENSG00000263141	P58501	ENSMUSG00000022974	PAXBP1
Q9Y5B6	ENSG00000159086	P58501	ENSMUSG00000022974	PAXBP1
Q86WN2	ENSG00000184995	Q80ZF2	ENSMUSG00000045364	IFNE
Q6UE05	ENSG00000175877	Q6UJB9	ENSMUSG00000040576	TMEM270
Q8NGH3	ENSG00000178358	K7N5V7	-	OR2D3
P0CW23	ENSG00000231824	G3UWD5	ENSMUSG00000091636	AKAIN1
P17693	ENSG00000235346	P14429	ENSMUSG00000060550	HLA-G
P17693	ENSG00000237216	P14429	ENSMUSG00000060550	HLA-G
P17693	ENSG00000276051	P14429	ENSMUSG00000060550	HLA-G
P17693	ENSG00000204632	P14429	ENSMUSG00000060550	HLA-G
P17693	ENSG00000235680	P14429	ENSMUSG00000060550	HLA-G
P17693	ENSG00000230413	P14429	ENSMUSG00000060550	HLA-G
P17693	ENSG00000233095	P14429	ENSMUSG00000060550	HLA-G
P17693	ENSG00000206506	P14429	ENSMUSG00000060550	HLA-G
O75952	ENSG00000154040	Q9D424	ENSMUSG00000024430	CABYR
Q8TBY8	ENSG00000118557	Q9WVQ0	ENSMUSG00000031727	PMFBP1
O95817	ENSG00000151929	Q9JLV1	ENSMUSG00000030847	BAG3
Q86SE9	ENSG00000180628	Q3UK78	ENSMUSG00000024805	PCGF5
O60603	ENSG00000137462	Q9QUN7	ENSMUSG00000027995	TLR2
P43631	ENSG00000276139	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000277885	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000274438	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000276258	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000275735	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000275452	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000276425	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000275737	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000275253	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000278152	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000278300	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000275583	P83555	ENSMUSG00000031424	KIR2DS2
P43631	ENSG00000274518	P83555	ENSMUSG00000031424	KIR2DS2
Q8NG08	ENSG00000127311	Q6NVF4	ENSMUSG00000020228	HELB
Q6UW15	ENSG00000143954	P35230	ENSMUSG00000071356	REG3G
Q93052	ENSG00000145012	Q8BFW7	ENSMUSG00000033306	LPP
A6NCF6	-	Q99PA7	ENSMUSG00000046180	MAGEA13P
P30085	ENSG00000162368	Q9DBP5	ENSMUSG00000028719	CMPK1
O14983	ENSG00000196296	Q8R429	ENSMUSG00000030730	ATP2A1
Q9NYB9	ENSG00000138443	P62484	ENSMUSG00000026782	ABI2
P52565	ENSG00000141522	Q99PT1	ENSMUSG00000025132	ARHGDIA
P29322	ENSG00000070886	O09127	ENSMUSG00000028661	EPHA8
Q96FN5	ENSG00000136883	Q9D2Z8	ENSMUSG00000028357	KIF12
O43291	ENSG00000167642	Q9WU03	ENSMUSG00000074227	SPINT2
Q9HAV4	ENSG00000124571	Q924C1	ENSMUSG00000067150	XPO5
P41595	ENSG00000135914	Q02152	ENSMUSG00000026228	HTR2B
Q8ND56	ENSG00000262860	Q8K2F8	ENSMUSG00000066568	LSM14A
Q8ND56	ENSG00000257103	Q8K2F8	ENSMUSG00000066568	LSM14A
Q8WXH2	ENSG00000154118	Q9ET77	ENSMUSG00000025318	JPH3
Q9BRJ6	ENSG00000146540	Q9CXL3	ENSMUSG00000053553	C7orf50
P08620	ENSG00000075388	P11403	ENSMUSG00000050917	FGF4
Q96M94	ENSG00000174010	A2AAX3	ENSMUSG00000043929	KLHL15
Q8WZ92	ENSG00000276025	Q8VG05	ENSMUSG00000078118	OR5P2
Q8WZ92	ENSG00000280931	Q8VG05	ENSMUSG00000078118	OR5P2
Q8WZ92	ENSG00000183303	Q8VG05	ENSMUSG00000078118	OR5P2
P35869	ENSG00000106546	P30561	ENSMUSG00000019256	AHR
Q9BWM7	ENSG00000107819	Q91V61	ENSMUSG00000025212	SFXN3
Q96M34	ENSG00000163424	A6X8Z9	ENSMUSG00000022798	C3orf30
Q8TBB1	ENSG00000072201	O70263	ENSMUSG00000029228	LNX1
Q96B18	ENSG00000197380	Q0PHV7	ENSMUSG00000078794	DACT3
Q9Y2S2	ENSG00000165475	Q99KP3	ENSMUSG00000021947	CRYL1
Q7Z3T1	ENSG00000238243	Q5NCC8	ENSMUSG00000063549	OR2W3
Q9UKI8	ENSG00000198586	Q8C0V0	ENSMUSG00000041997	TLK1
P05120	ENSG00000197632	P12388	ENSMUSG00000062345	SERPINB2
Q9H6U6	ENSG00000141376	Q8CCN5	ENSMUSG00000059439	BCAS3
Q7Z3E2	ENSG00000165813	Q8C9S4	ENSMUSG00000035173	CCDC186
Q9UJ83	ENSG00000131373	Q9QXE0	ENSMUSG00000021884	HACL1
Q9ULH1	ENSG00000153317	Q9QWY8	ENSMUSG00000022377	ASAP1
Q8NDY3	ENSG00000153531	Q8BGK2	ENSMUSG00000031448	ADPRHL1
Q6T310	ENSG00000122035	Q6IMB1	ENSMUSG00000029641	RASL11A
Q9Y5F0	ENSG00000187372	Q91Y03	ENSMUSG00000047910	PCDHB13
Q15759	ENSG00000185386	Q9WUI1	ENSMUSG00000053137	MAPK11
P46721	ENSG00000084453	M0QWR8	ENSMUSG00000079263	SLCO1A2
Q5TGP6	ENSG00000117501	G5E8L9	ENSMUSG00000071890	MROH9
P19801	ENSG00000002726	Q8JZQ5	ENSMUSG00000029811	AOC1
Q8WWR8	ENSG00000204099	Q8BZL1	ENSMUSG00000034000	NEU4
Q8WWR8	ENSG00000277926	Q8BZL1	ENSMUSG00000034000	NEU4
O60733	ENSG00000184381	P97819	ENSMUSG00000042632	PLA2G6
P30041	ENSG00000117592	O08709	ENSMUSG00000026701	PRDX6
A6NEJ1	-	Q8C5Z3	ENSMUSG00000023165	-
Q6NXR0	ENSG00000124449	Q8C262	ENSMUSG00000062028	IRGC
P60413	ENSG00000189169	E9Q1M3	ENSMUSG00000096481	KRTAP10-12
P0C7P4	-	Q9CR68	ENSMUSG00000038462	UQCRFS1P1
P14649	ENSG00000196465	Q8CI43	ENSMUSG00000039824	MYL6B
Q9NRQ2	ENSG00000114698	P58196	ENSMUSG00000032377	PLSCR4
Q96NB3	ENSG00000198783	Q8R1N0	ENSMUSG00000046010	ZNF830
Q6J272	ENSG00000188163	Q9D4K5	ENSMUSG00000026969	FAM166A
Q9BSJ2	ENSG00000130640	Q921G8	ENSMUSG00000025474	TUBGCP2
Q9H477	ENSG00000171174	Q8R1Q9	ENSMUSG00000029136	RBKS
Q92540	ENSG00000116698	Q5RJH6	ENSMUSG00000042772	SMG7
Q96PU5	ENSG00000049759	Q8CFI0	ENSMUSG00000024589	NEDD4L
O75955	ENSG00000224740	O08917	ENSMUSG00000059714	FLOT1
O75955	ENSG00000223654	O08917	ENSMUSG00000059714	FLOT1
O75955	ENSG00000137312	O08917	ENSMUSG00000059714	FLOT1
O75955	ENSG00000232280	O08917	ENSMUSG00000059714	FLOT1
O75955	ENSG00000206379	O08917	ENSMUSG00000059714	FLOT1
O75955	ENSG00000206480	O08917	ENSMUSG00000059714	FLOT1
O75955	ENSG00000230143	O08917	ENSMUSG00000059714	FLOT1
O75955	ENSG00000236271	O08917	ENSMUSG00000059714	FLOT1
Q12765	ENSG00000136193	Q9CZC8	ENSMUSG00000019124	SCRN1
Q9NP66	ENSG00000140382	Q9DC33	ENSMUSG00000032329	HMG20A
Q13404	ENSG00000124208	D3Z1I3	-	UBE2V1
Q13404	ENSG00000244687	D3Z1I3	-	UBE2V1
Q6X9E4	ENSG00000164049	E9PXM9	ENSMUSG00000062275	FBXW12
Q99909	ENSG00000165584	B1AUS7	-	SSX3
Q02928	ENSG00000187048	O88833	ENSMUSG00000066072	CYP4A11
Q15545	ENSG00000178913	Q9R1C0	ENSMUSG00000051316	TAF7
Q8WWI5	ENSG00000070214	Q6X893	ENSMUSG00000028412	SLC44A1
Q96PT3	-	Q2MDG0	ENSMUSG00000079633	DUX5
P27824	ENSG00000283777	P35564	ENSMUSG00000020368	CANX
P27824	ENSG00000127022	P35564	ENSMUSG00000020368	CANX
Q9UQ03	ENSG00000103647	Q8BH44	ENSMUSG00000041729	CORO2B
Q96LD8	ENSG00000166192	Q9D2Z4	ENSMUSG00000051705	SENP8
Q8IVF7	ENSG00000161791	Q6ZPF4	ENSMUSG00000023008	FMNL3
Q96LT6	ENSG00000162757	Q9DAE8	ENSMUSG00000079144	C1orf74
Q5SSQ6	ENSG00000227074	Q9CY86	ENSMUSG00000036185	SAPCD1
Q5SSQ6	ENSG00000228727	Q9CY86	ENSMUSG00000036185	SAPCD1
Q5SSQ6	ENSG00000229176	Q9CY86	ENSMUSG00000036185	SAPCD1
Q5SSQ6	ENSG00000237918	Q9CY86	ENSMUSG00000036185	SAPCD1
Q5SSQ6	ENSG00000234951	Q9CY86	ENSMUSG00000036185	SAPCD1
Q5SSQ6	ENSG00000227861	Q9CY86	ENSMUSG00000036185	SAPCD1
Q15572	ENSG00000103168	Q6PDZ2	ENSMUSG00000031832	TAF1C
P0C645	ENSG00000276240	Q9R0K4	ENSMUSG00000057564	OR4E1
P80404	ENSG00000183044	P61922	ENSMUSG00000057880	ABAT
Q8NDY8	ENSG00000178821	Q9D702	ENSMUSG00000023153	TMEM52
P49913	ENSG00000164047	P51437	ENSMUSG00000038357	CAMP
Q86WV1	ENSG00000141293	Q3UUV5	ENSMUSG00000057058	SKAP1
Q8NGK1	ENSG00000278870	Q8VH17	ENSMUSG00000045792	OR51G1
Q5JUK2	ENSG00000165643	Q6IUP1	ENSMUSG00000059625	SOHLH1
Q8N1V2	ENSG00000166596	Q5F201	ENSMUSG00000020904	CFAP52
Q86YF9	ENSG00000134874	Q8BMD2	ENSMUSG00000042156	DZIP1
O75452	ENSG00000139547	O88451	ENSMUSG00000040134	RDH16
Q8WZ79	ENSG00000137976	Q9QY48	ENSMUSG00000028185	DNASE2B
O00471	ENSG00000070367	Q3TPX4	ENSMUSG00000061244	EXOC5
Q9NU19	ENSG00000065491	Q80VE5	ENSMUSG00000042203	TBC1D22B
Q13772	ENSG00000266412	Q5U4H9	ENSMUSG00000056234	NCOA4
Q9UKJ3	ENSG00000186566	A2A6A1	ENSMUSG00000034621	GPATCH8
Q7Z7M9	ENSG00000136542	Q8C102	ENSMUSG00000026828	GALNT5
Q86X27	ENSG00000116191	Q9ERD6	ENSMUSG00000026594	RALGPS2
Q9GZQ8	ENSG00000140941	Q9CQV6	ENSMUSG00000031812	MAP1LC3B
A6NLW8	ENSG00000258873	Q2MDF7	ENSMUSG00000079628	DUXA
Q5SZL2	ENSG00000111860	E9QA61	ENSMUSG00000038594	CEP85L
Q6UWN0	ENSG00000273111	Q8BVP6	ENSMUSG00000062732	LYPD4
Q86Y33	ENSG00000164287	D3Z3I0	ENSMUSG00000078926	CDC20B
Q9BXT2	ENSG00000130433	Q8VHW3	ENSMUSG00000078815	CACNG6
Q9BXT2	ENSG00000130433	Q8VHW3	ENSMUSG00000097894	CACNG6
Q96MM3	ENSG00000179059	P22227	ENSMUSG00000051176	ZFP42
Q86XD8	ENSG00000172671	D3Z3C6	ENSMUSG00000042213	ZFAND4
Q96MW1	ENSG00000180329	Q9CR29	ENSMUSG00000020925	CCDC43
O14686	ENSG00000167548	Q6PDK2	ENSMUSG00000048154	KMT2D
P0DJI8	ENSG00000173432	P05366	ENSMUSG00000074115	SAA1
P0CJ85	-	Q7TNE6	ENSMUSG00000072672	DUX4L2
P0CJ85	-	Q7TNE6	ENSMUSG00000072675	DUX4L2
P0CJ85	-	Q7TNE6	ENSMUSG00000048502	DUX4L2
Q6ZSB9	ENSG00000168826	Q8BXX2	ENSMUSG00000029127	ZBTB49
Q86W54	ENSG00000170469	Q6P926	ENSMUSG00000024352	SPATA24
Q8IV16	ENSG00000277494	Q9D1N2	ENSMUSG00000022579	GPIHBP1
A1L167	ENSG00000215218	A0PJN4	ENSMUSG00000052981	UBE2QL1
Q8WV44	ENSG00000146063	Q5NCC3	ENSMUSG00000040365	TRIM41
Q9BXS5	ENSG00000072958	P35585	ENSMUSG00000003033	AP1M1
P15311	ENSG00000092820	P26040	ENSMUSG00000052397	EZR
Q9UHQ1	ENSG00000141562	Q9CYQ7	ENSMUSG00000000056	NARF
Q8TAT5	ENSG00000109674	Q8K203	ENSMUSG00000039396	NEIL3
Q969J3	ENSG00000165714	Q9D920	ENSMUSG00000042992	BORCS5
Q969J3	ENSG00000280689	Q9D920	ENSMUSG00000042992	BORCS5
Q8IXA5	ENSG00000141316	Q9D9X8	ENSMUSG00000053184	SPACA3
Q9UK61	ENSG00000163946	Q69ZR9	ENSMUSG00000040651	FAM208A
Q9NX95	ENSG00000147642	Q8BHS8	ENSMUSG00000022340	SYBU
P55786	ENSG00000141279	Q11011	ENSMUSG00000001441	NPEPPS
Q9UKG4	ENSG00000164707	Q8BZ82	ENSMUSG00000029843	SLC13A4
Q96HL8	ENSG00000035115	O08641	ENSMUSG00000020669	SH3YL1
Q14739	ENSG00000143815	Q3U9G9	ENSMUSG00000004880	LBR
I3L1I5	-	E9Q7Y4	ENSMUSG00000074497	-
Q9UHG2	ENSG00000102109	Q9QXV0	ENSMUSG00000039278	PCSK1N
Q7RTZ2	ENSG00000230549	Q61068	ENSMUSG00000054568	USP17L1
O96001	ENSG00000106341	Q9Z2E4	ENSMUSG00000002930	PPP1R17
Q96B33	ENSG00000253958	Q9D7D7	ENSMUSG00000055976	CLDN23
Q9BYQ5	ENSG00000198090	B1AQ90	ENSMUSG00000069718	KRTAP4-6
O75290	ENSG00000280568	E9Q2S6	ENSMUSG00000063047	ZNF780A
O75290	ENSG00000197782	E9Q2S6	ENSMUSG00000063047	ZNF780A
Q8IZD9	ENSG00000088538	Q8CIQ7	ENSMUSG00000039716	DOCK3
O00193	ENSG00000110696	Q9R0P4	ENSMUSG00000030663	SMAP
H0Y858	-	Q9EQU3	ENSMUSG00000045322	-
Q6PJP8	ENSG00000198924	Q9JIC3	ENSMUSG00000025077	DCLRE1A
Q13573	ENSG00000100603	Q9CSN1	ENSMUSG00000021039	SNW1
P47974	ENSG00000152518	P23949	ENSMUSG00000045817	ZFP36L2
Q9P273	ENSG00000218336	Q9WTS6	ENSMUSG00000031561	TENM3
Q5JQC9	ENSG00000147081	Q60662	ENSMUSG00000050089	AKAP4
Q86VG3	ENSG00000166352	Q9CQI4	ENSMUSG00000027165	C11orf74
Q9H0U6	ENSG00000112110	Q9CQL5	ENSMUSG00000057388	MRPL18
Q32MH5	ENSG00000047346	Q69ZK7	ENSMUSG00000034858	FAM214A
O00559	ENSG00000147654	Q9D0V7	ENSMUSG00000022339	EBAG9
Q8TEU7	ENSG00000158987	Q5NCJ1	ENSMUSG00000037533	RAPGEF6
O15063	ENSG00000166398	Q8C5X1	ENSMUSG00000066571	KIAA0355
O15063	ENSG00000279389	Q8C5X1	ENSMUSG00000066571	KIAA0355
O15063	ENSG00000282735	Q8C5X1	ENSMUSG00000066571	KIAA0355
Q04323	ENSG00000162191	Q922Y1	ENSMUSG00000071655	UBXN1
Q9HA64	ENSG00000141560	Q8K274	ENSMUSG00000039253	FN3KRP
Q8WVF5	ENSG00000180332	Q9D7X1	ENSMUSG00000046523	KCTD4
Q15388	ENSG00000173726	Q9DCC8	ENSMUSG00000093904	TOMM20
P25090	ENSG00000171049	O08790	ENSMUSG00000079700	FPR2
Q04759	ENSG00000065675	Q02111	ENSMUSG00000026778	PRKCQ
Q5JS54	ENSG00000180822	P0C7N9	ENSMUSG00000071451	PSMG4
P25705	ENSG00000152234	Q03265	ENSMUSG00000025428	ATP5F1A
P54317	ENSG00000266200	P17892	ENSMUSG00000025091	PNLIPRP2
Q9BZE9	ENSG00000169696	Q8VBT9	ENSMUSG00000025142	ASPSCR1
P60059	ENSG00000132432	P60060	ENSMUSG00000078974	SEC61G
P02679	ENSG00000171557	Q8VCM7	ENSMUSG00000033860	FGG
Q8N6F8	ENSG00000165171	Q8BGM4	ENSMUSG00000040557	METTL27
A5D8T8	ENSG00000157322	Q7TSQ1	ENSMUSG00000033633	CLEC18A
P55291	ENSG00000129910	P33146	ENSMUSG00000031962	CDH15
Q8NFB2	ENSG00000269556	A2AF53	ENSMUSG00000073139	TMEM185A
Q96H72	ENSG00000165915	Q8BZH0	ENSMUSG00000002105	SLC39A13
Q13237	ENSG00000138669	Q61410	ENSMUSG00000029334	PRKG2
P08240	ENSG00000182934	Q9DBG7	ENSMUSG00000032042	SRPRA
Q13686	ENSG00000100601	P0CB42	ENSMUSG00000079036	ALKBH1
I3L273	ENSG00000261949	J3KML8	ENSMUSG00000095276	GFY
P04085	ENSG00000197461	P20033	ENSMUSG00000025856	PDGFA
Q7Z5M8	ENSG00000131969	G3UZN6	ENSMUSG00000090121	ABHD12B
O75452	ENSG00000139547	G5E8H9	ENSMUSG00000054052	RDH16
O15084	ENSG00000206560	Q505D1	ENSMUSG00000014496	ANKRD28
Q13255	ENSG00000152822	P97772	ENSMUSG00000019828	GRM1
