Human Uniprot	Human Ensembl	Mouse Uniprot	Mouse Ensembl
Q92600	ENSG00000144580	Q9JKY0	ENSMUSG00000026174
Q6PIV7	ENSG00000162461	A2ADF7	ENSMUSG00000040740
P42681	ENSG00000074966	P42682	ENSMUSG00000054892
Q6PI73	ENSG00000275539; ENSG00000274148; ENSG00000275584; ENSG00000244482; ENSG00000277177	E9Q6M9	ENSMUSG00000030427
Q8NDA8	ENSG00000179832	E0CZ22	ENSMUSG00000022558
A6NGN4	ENSG00000283348; ENSG00000282566; ENSG00000276299; ENSG00000229571; ENSG00000281987; ENSG00000280267; ENSG00000283216	Q9D2F1	ENSMUSG00000028591
Q9H3Y0	ENSG00000101074	A2A5I3	ENSMUSG00000078949
Q8TAV0	ENSG00000009780	Q922G2	ENSMUSG00000028878
P40967	ENSG00000185664	Q60696	ENSMUSG00000025359
P01571	ENSG00000234829	P07350	ENSMUSG00000101252
P50453	ENSG00000170542	O08806	ENSMUSG00000062342
Q96EY9	ENSG00000213638	Q6PAT0	ENSMUSG00000113640
Q9Y2V3	ENSG00000134438	O35602	ENSMUSG00000024518
A6NHN0	ENSG00000182447	Q4ZJM7	ENSMUSG00000027788
P17693	ENSG00000235346; ENSG00000237216; ENSG00000276051; ENSG00000204632; ENSG00000235680; ENSG00000230413; ENSG00000233095; ENSG00000206506	G3UXE9	ENSMUSG00000073402
Q9UBC7	ENSG00000197487	Q810H5	ENSMUSG00000034660
P28070	ENSG00000159377	P99026	ENSMUSG00000005779
Q8IYB1	ENSG00000180611	Q8C525	ENSMUSG00000051065
Q9UNK0	ENSG00000170310	O88983	ENSMUSG00000020903
Q96SB4	ENSG00000096063	O70551	ENSMUSG00000004865
O60938	ENSG00000139330	O35367	ENSMUSG00000019932
A2VEC9	ENSG00000197558	Q8CG65	ENSMUSG00000029797
Q8WYQ3	ENSG00000250479; ENSG00000273607	Q7TNL9	ENSMUSG00000049422
Q13454	ENSG00000104723	Q8BTV1	ENSMUSG00000039530
C9J2P7	ENSG00000223569	H9KUY1	-
Q99487	ENSG00000158006	Q8VDG7	ENSMUSG00000037366
Q9Y2W3	ENSG00000162426	Q8BIV7	ENSMUSG00000039838
Q5T5Y3	ENSG00000130559	A2AHC3	ENSMUSG00000026933
Q9NQC1	ENSG00000043143	Q6ZQF7	ENSMUSG00000020387
Q07352	ENSG00000185650	P23950	ENSMUSG00000021127
Q96KS9	ENSG00000154319	Q6P1G6	ENSMUSG00000035095
Q13105	ENSG00000116809	Q60821	ENSMUSG00000006215
Q16572	ENSG00000187714	O35304	ENSMUSG00000100241
Q9GZV1	ENSG00000165887	Q9WV06	ENSMUSG00000025172
P60900	ENSG00000100902	Q9QUM9	ENSMUSG00000021024
Q13113	ENSG00000162366	Q9CQH0	ENSMUSG00000028716
Q9UQ53	ENSG00000161013; ENSG00000284501	Q812F8	ENSMUSG00000036620
Q9Y4C1	ENSG00000115548	Q6PCM1	ENSMUSG00000053470
Q4VC31	ENSG00000160124	Q8R3Q6	ENSMUSG00000075229
Q5VYS4	ENSG00000102802	Q14BA6	ENSMUSG00000029659
Q00169	ENSG00000174238	P53810	ENSMUSG00000017781
Q00341	ENSG00000115677	Q8VDJ3	ENSMUSG00000034088
Q68CQ7	ENSG00000016864	Q6NSU3	ENSMUSG00000021916
Q92876	ENSG00000167755	Q91Y82	ENSMUSG00000050063
P35659	ENSG00000124795	Q7TNV0	ENSMUSG00000021377
P31321	ENSG00000188191	P12849	ENSMUSG00000025855
Q14954	ENSG00000278304; ENSG00000275306; ENSG00000273603; ENSG00000278120; ENSG00000275421; ENSG00000276327; ENSG00000273517	Q673W2	ENSMUSG00000057439
Q9NS64	ENSG00000177519	Q9JJ72	ENSMUSG00000075334
Q9BTY7	ENSG00000235173	Q8C3I8	ENSMUSG00000022554
Q8NA72	ENSG00000152359	Q9DBS8	ENSMUSG00000021671
Q92913	ENSG00000129682	P70377	ENSMUSG00000031137
O43169	ENSG00000103018	Q9CQX2	ENSMUSG00000031924
P24941	ENSG00000123374	P97377	ENSMUSG00000025358
Q6UB99	ENSG00000167522	E9Q4F8	ENSMUSG00000035569
P82251	ENSG00000021488	Q9QXA6	ENSMUSG00000030492
E7ERA6	ENSG00000237330	Q3UV31	ENSMUSG00000110404
Q10589	ENSG00000130303	Q8R2Q8	ENSMUSG00000046718
P56557	ENSG00000263160; ENSG00000142188	Q9D1X9	ENSMUSG00000022964
P21953	ENSG00000083123	Q6P3A8	ENSMUSG00000032263
P11308	ENSG00000157554	P81270	ENSMUSG00000040732
O00273	ENSG00000160049	O54786	ENSMUSG00000028974
Q8N688	ENSG00000180424	Q8K3U4	ENSMUSG00000044863
Q6UX46	ENSG00000189292	Q80UG6	ENSMUSG00000054204
Q8TC92	ENSG00000120658	Q8BHR2	ENSMUSG00000022012
Q13118	ENSG00000155090	O89091	ENSMUSG00000037465
Q5VXH5	ENSG00000204510; ENSG00000279195	Q9D2F1	ENSMUSG00000028591
O43181	ENSG00000164258	Q9CXZ1	ENSMUSG00000021764
Q86WG5	ENSG00000133812	E9PXF8	ENSMUSG00000038371
P51451	ENSG00000136573	P16277	ENSMUSG00000014453
Q9H920	ENSG00000137522	Q8R1Z9	ENSMUSG00000070426
P59025	ENSG00000175077	Q8C8C1	ENSMUSG00000033383
Q6ZU15	ENSG00000154997	Q9DA97	ENSMUSG00000034219
Q15617	ENSG00000197849	Q9EQB6	ENSMUSG00000094745
Q3SY17	ENSG00000141437	Q5HZI9	ENSMUSG00000045973
Q13563	ENSG00000118762	O35245	ENSMUSG00000034462
P16278	ENSG00000170266	P23780	ENSMUSG00000045594
Q9P2F5	ENSG00000173320	Q499E5	ENSMUSG00000038143
Q8WZ84	ENSG00000196341	Q9EQA0	ENSMUSG00000058515
Q9H114	ENSG00000125823	Q80Y72	ENSMUSG00000055177
A6NHS7	ENSG00000205693	Q3UU94	ENSMUSG00000072662
O14977	ENSG00000155096	O35484	ENSMUSG00000037458
Q8N6M9	ENSG00000178381	Q9JII7	ENSMUSG00000053581
Q14353	ENSG00000130005	O35969	ENSMUSG00000020150
O75044	ENSG00000266028	Q91Z67	ENSMUSG00000026425
P50616	ENSG00000141232	Q61471	ENSMUSG00000037573
Q8NHW6	ENSG00000178602	Q8R448	ENSMUSG00000044055
Q9UKY0	ENSG00000171864	Q9QUG3	ENSMUSG00000027338
Q9NXV2	ENSG00000167977	Q8VC57	ENSMUSG00000016946
Q7L590	ENSG00000065328	Q0VBD2	ENSMUSG00000026669
Q8N568	ENSG00000170390	Q6PGN3	ENSMUSG00000028078
Q86XF7	ENSG00000176472	Q3TXZ1	ENSMUSG00000066721
Q8WWX0	ENSG00000164122	Q9D1A4	ENSMUSG00000031519
Q13576	ENSG00000145703	Q3UQ44	ENSMUSG00000021676
Q9NQ84	ENSG00000170412	Q8K3J9	ENSMUSG00000051043
P01567	ENSG00000214042	Q80SU4	ENSMUSG00000063376
Q32M88	ENSG00000142102	Q8BP56	ENSMUSG00000062031
Q14833	ENSG00000124493	Q68EF4	ENSMUSG00000063239
P62913	ENSG00000142676	Q9CXW4	ENSMUSG00000059291
P47914	ENSG00000162244	F6QL70	-
P19622	ENSG00000164778	P09066	ENSMUSG00000039095
Q8N5C8	ENSG00000157625	Q571K4	ENSMUSG00000035476
P98082	ENSG00000153071	P98078	ENSMUSG00000022150
P31260	ENSG00000253293	P31310	ENSMUSG00000000938
Q5T870	ENSG00000203783	Q8BV84	ENSMUSG00000056270
Q96PP9	ENSG00000162654	Q91Z40	ENSMUSG00000040253
P16455	ENSG00000170430	P26187	ENSMUSG00000054612
O60293	ENSG00000133858	B2RT41	ENSMUSG00000034163
Q9BV35	ENSG00000125648	Q6GQS1	ENSMUSG00000046329
P51970	ENSG00000119421	Q9DCJ5	ENSMUSG00000026895
Q6NW29	ENSG00000182552	Q9CPR1	ENSMUSG00000031568
O43345	ENSG00000160321	B8JJX8	ENSMUSG00000048280
O75019	ENSG00000104974; ENSG00000277398; ENSG00000274935; ENSG00000275525	F8VQ94	ENSMUSG00000089942
Q08J23	ENSG00000037474	Q1HFZ0	ENSMUSG00000021595
Q9H063	ENSG00000179632	Q9D0U6	ENSMUSG00000022553
Q3KQU3	ENSG00000116871	A2AJI0	ENSMUSG00000028849
B1AKI9	ENSG00000101230	A2ATD1	ENSMUSG00000074766
Q6ZUS6	ENSG00000181982	F6V035	ENSMUSG00000045790
Q14061	ENSG00000138495	P56394	ENSMUSG00000046516
A6NLW8	ENSG00000258873	A6PW38	-
Q96LD4	ENSG00000132481	Q8C0E3	ENSMUSG00000020773
Q99708	ENSG00000101773	Q80YR6	ENSMUSG00000041238
P13747	ENSG00000206493; ENSG00000225201; ENSG00000233904; ENSG00000204592; ENSG00000236632; ENSG00000230254; ENSG00000229252	Q4KN81	ENSMUSG00000091705
Q92543	ENSG00000120451	Q6P4T1	ENSMUSG00000031993
Q8TE02	ENSG00000170291	Q99L85	ENSMUSG00000018565
Q9UPZ3	ENSG00000110756	P59438	ENSMUSG00000014418
A6NCI4	ENSG00000283835; ENSG00000175267	Q3UVV9	ENSMUSG00000030889
P18085	ENSG00000168374	P61750	ENSMUSG00000021877
Q9Y3L3	ENSG00000100092	P55194	ENSMUSG00000022436
Q8TF61	ENSG00000163013	Q6NS60	ENSMUSG00000047013
Q5JTJ3	ENSG00000168275	Q8BGD8	ENSMUSG00000051671
Q9P0V8	ENSG00000158714	Q9D3G2	ENSMUSG00000053318
Q13151	ENSG00000177733	Q9CX86	ENSMUSG00000007836
Q9H4W6	ENSG00000108001	O08791	ENSMUSG00000010476
P18846	ENSG00000123268	P81269	ENSMUSG00000023027
P07093	ENSG00000135919	Q07235	ENSMUSG00000026249
Q92598	ENSG00000120694	Q61699	ENSMUSG00000029657
O14669	ENSG00000126460	Q8R182	ENSMUSG00000007837
P16422	ENSG00000119888	Q99JW5	ENSMUSG00000045394
P43897	ENSG00000123297	Q9CZR8	ENSMUSG00000040521
P53990	ENSG00000182149	Q9CX00	ENSMUSG00000031729
Q8IV45	ENSG00000124602	Q6R653	ENSMUSG00000043592
Q8WVE6	ENSG00000157111	Q4KL18	ENSMUSG00000052485
P01011	ENSG00000196136	Q6P4P1	ENSMUSG00000041536
Q96QV1	ENSG00000164161	Q7TN16	ENSMUSG00000064325
Q6UVM3	ENSG00000162687	D3YXJ8	-
P47901	ENSG00000198049	Q9WU02	ENSMUSG00000026432
Q9NWN3	ENSG00000178974	Q80XI1	ENSMUSG00000037536
Q12766	ENSG00000113716	G3X9M3	ENSMUSG00000024622
Q9BWD3	ENSG00000203950	Q9D1F0	ENSMUSG00000067925; ENSMUSG00000067924
Q8N8Q8	ENSG00000163626	Q8VC74	ENSMUSG00000035505
O95873	ENSG00000228435; ENSG00000228177; ENSG00000226103; ENSG00000226531; ENSG00000204439; ENSG00000235360; ENSG00000203623	Q9Z1R4	ENSMUSG00000043311
Q9UQ88	ENSG00000008128	P24788	ENSMUSG00000029062
Q8NGG0	ENSG00000167822	Q7TR75	ENSMUSG00000075187
Q99848	ENSG00000117395	Q9D903	ENSMUSG00000028729
Q86SQ0	ENSG00000144824	Q8K1N2	ENSMUSG00000033149
P0C862	ENSG00000240654	Q4ZJN1	ENSMUSG00000071347
P02724	ENSG00000170180	P14220	ENSMUSG00000051839
P21980	ENSG00000198959	P21981	ENSMUSG00000037820
Q9UBU8	ENSG00000185787	P60762	ENSMUSG00000062270
Q9BYQ5	ENSG00000198090	Q3V4B7	ENSMUSG00000075566
P06727	ENSG00000110244	P06728	ENSMUSG00000032080
Q16696	ENSG00000197838	P15392	ENSMUSG00000074254
Q9BT81	ENSG00000171056	P40646	ENSMUSG00000063060
P10144	ENSG00000100453	P04187	ENSMUSG00000015437
Q9Y614	ENSG00000148156	Q9QY83	ENSMUSG00000070980
Q9BT88	ENSG00000132718	Q9R0N3	ENSMUSG00000068923
P23142	ENSG00000077942	Q08879	ENSMUSG00000006369
Q5T0D9	ENSG00000158109	Q9DBS2	ENSMUSG00000029030
Q96SU4	ENSG00000117859	A2A8Z1	ENSMUSG00000028559
Q14186	ENSG00000198176	Q08639	ENSMUSG00000038482
O15083	ENSG00000187672	Q6PH08	ENSMUSG00000040640
Q9H2H0	ENSG00000168772	Q6NXI8	ENSMUSG00000044365
Q92947	ENSG00000105607	Q60759	ENSMUSG00000003809
Q9ULT8	ENSG00000092148	Q69ZR2	ENSMUSG00000035247
Q8IXQ6	ENSG00000138496	Q8CAS9	ENSMUSG00000022906
Q9BQL6	ENSG00000101311	P59113	ENSMUSG00000027356
P30039	ENSG00000108187	Q9CXN7	ENSMUSG00000020072
Q68D06	ENSG00000154760	B1ARD6	ENSMUSG00000069793
Q9BSW7	ENSG00000103528	Q920M7	ENSMUSG00000058420
Q5TGI0	ENSG00000146267	Q3UMF9	ENSMUSG00000028246
P50748	ENSG00000184445	Q8C3Y4	ENSMUSG00000029414
Q96S44	ENSG00000172315	Q5U452	ENSMUSG00000039725
Q12959	ENSG00000075711	Q811D0	ENSMUSG00000022770
Q9UNE7	ENSG00000103266	Q9WUD1	ENSMUSG00000039615
Q16720	ENSG00000067842	Q0VF55	ENSMUSG00000031376
P57735	ENSG00000132698	Q9WTL2	ENSMUSG00000008601
Q8NGF1	ENSG00000279270	Q8VGV9	ENSMUSG00000073961
O75764	ENSG00000282941; ENSG00000204219	P23881	ENSMUSG00000001604
A8MUK1	ENSG00000227140	Q7M764	ENSMUSG00000043073
Q14721	ENSG00000158445	Q03717	ENSMUSG00000050556
O75355	ENSG00000168032	Q8BFW6	ENSMUSG00000041608
A6NCV1	ENSG00000197706	Q8VG45	ENSMUSG00000044897
Q9NVT9	ENSG00000104442	Q9D7A8	ENSMUSG00000027599
Q7Z3S7	ENSG00000151062	Q5RJF7	ENSMUSG00000041460
O00748	ENSG00000172831	F6Z9B9	ENSMUSG00000091813
Q9H5V7	ENSG00000095574	Q8BU00	ENSMUSG00000040167
Q6DKI1	ENSG00000146223	Q9D8M4	ENSMUSG00000063888
Q8IWE5	ENSG00000116786	Q80TQ5	ENSMUSG00000028917
P51610	ENSG00000172534	Q61191	ENSMUSG00000031386
O75478	ENSG00000276234; ENSG00000277104	Q8CHV6	ENSMUSG00000018651
Q7Z589	ENSG00000158636	Q8BMB0	ENSMUSG00000035401
Q86UC2	ENSG00000130363	Q9DA80	ENSMUSG00000023806
Q9H0C2	ENSG00000151475	Q3V132	ENSMUSG00000069041
Q9UHA4	ENSG00000109270	O88653	ENSMUSG00000091512
O15541	ENSG00000125352	Q8R3P8	ENSMUSG00000036537
Q9BTL3	ENSG00000169612	Q9CQY2	ENSMUSG00000038646
Q6UW63	ENSG00000134901	Q9JHP7	ENSMUSG00000026047
Q9H489	ENSG00000235217	Q3UYP3	ENSMUSG00000074671
O15305	ENSG00000140650	Q9Z2M7	ENSMUSG00000022711
O15551	ENSG00000165215	Q9Z0G9	ENSMUSG00000070473
Q9Y224	ENSG00000087302	Q9CQE8	ENSMUSG00000021807
Q8NH19	ENSG00000174970	E9PXB8	ENSMUSG00000070855
Q9NV29	ENSG00000166292	Q9CQG9	ENSMUSG00000069763
O75569	ENSG00000180228	Q9WTX2	ENSMUSG00000002731
Q9BW91	ENSG00000170502	Q8BVU5	ENSMUSG00000029310
Q9UKJ1	ENSG00000085514	Q2YFS1	ENSMUSG00000066682
Q96RP7	ENSG00000197093	Q3V1B8	ENSMUSG00000075593
Q9Y6K0	ENSG00000134255	Q8BGS7	ENSMUSG00000040774
O15321	ENSG00000100926	Q9DBU0	ENSMUSG00000002320
Q8N8R7	ENSG00000152219	Q8BIX3	ENSMUSG00000027122
Q9BZG9	ENSG00000283992; ENSG00000284505; ENSG00000180155	Q9WVC2	ENSMUSG00000022594; ENSMUSG00000075605
Q15527	ENSG00000148291; ENSG00000281024	P09926	ENSMUSG00000014873
P01562	ENSG00000197919; ENSG00000233816	P01573	ENSMUSG00000078354
Q6H8Q1	ENSG00000163995	Q8BL65	ENSMUSG00000029095
A6NJS3	-	P01749	-
O43474	ENSG00000136826	Q60793	ENSMUSG00000003032
Q6ZN01	ENSG00000176909	Q0ZCJ7	ENSMUSG00000042918
Q5VYK3	ENSG00000136813	Q6PDI5	ENSMUSG00000050812
Q8IXF9	ENSG00000184945	Q8CHJ2	ENSMUSG00000045091
P60371	ENSG00000188155	J3QMW1	ENSMUSG00000095721
Q7RTY3	ENSG00000188086	Q8K4I7	ENSMUSG00000047257
O43566	ENSG00000169220	P97492	ENSMUSG00000052087
O60224	ENSG00000268009; ENSG00000269791	A2BI93	ENSMUSG00000068218
P20809	ENSG00000095752	P47873	ENSMUSG00000004371
Q86VX2	ENSG00000149600	Q8BG94	ENSMUSG00000056941
Q00403	ENSG00000137947	P62915	ENSMUSG00000028271
Q9Y573	ENSG00000197429	P28575	ENSMUSG00000028696
O95807	ENSG00000183726	Q9CXL1	ENSMUSG00000028822
Q9C030	ENSG00000121236	Q8BGE7	ENSMUSG00000072244
Q6PGN9	ENSG00000134222	Q9D0P7	ENSMUSG00000068744
O00213	ENSG00000166313	Q9QXJ1	ENSMUSG00000037032
P16471	ENSG00000113494	Q08501	ENSMUSG00000005268
P62805	ENSG00000277157; ENSG00000275126; ENSG00000276966; ENSG00000274618; ENSG00000197061; ENSG00000276180; ENSG00000278705; ENSG00000270276; ENSG00000273542; ENSG00000197238; ENSG00000270882; ENSG00000197837; ENSG00000278637; ENSG00000158406	P62806	ENSMUSG00000060093; ENSMUSG00000069305; ENSMUSG00000061482; ENSMUSG00000069306; ENSMUSG00000060981; ENSMUSG00000060678; ENSMUSG00000069274; ENSMUSG00000060639; ENSMUSG00000067455; ENSMUSG00000064288; ENSMUSG00000096010; ENSMUSG00000091405; ENSMUSG00000069266
Q01167	ENSG00000141568	Q3UCQ1	ENSMUSG00000039275
Q8IXT1	ENSG00000165490	Q6NZG4	ENSMUSG00000030641
Q8IZI9	ENSG00000197110	Q8CGK6	ENSMUSG00000060747
Q9BVG4	ENSG00000102390	Q9D0B6	ENSMUSG00000031226
Q96NX5	ENSG00000008118	Q91VB2	ENSMUSG00000016179
Q9NYY8	ENSG00000118246	Q922E6	ENSMUSG00000025962
Q9BTE3	ENSG00000197771	Q8R3C0	ENSMUSG00000048170
Q6DCA0	ENSG00000144233	Q8JZZ6	ENSMUSG00000041915
P62826	ENSG00000132341	P62827	ENSMUSG00000029430
Q9H3N8	ENSG00000134489	Q91ZY2	ENSMUSG00000037346
Q86XI6	ENSG00000173281	Q8C767	ENSMUSG00000046794
Q96EL3	ENSG00000204822	Q9D1H8	ENSMUSG00000030037
Q13253	ENSG00000183691	P97466	ENSMUSG00000048616
Q9UHF3	ENSG00000204872	E0CYC6	-
Q16186	ENSG00000130706	Q9JKV1	ENSMUSG00000039041
Q16851	ENSG00000169764	Q91ZJ5	ENSMUSG00000001891
Q502X0	ENSG00000188010	Q6UL01	ENSMUSG00000045257
Q9H1R3	ENSG00000101306	Q8VCR8	ENSMUSG00000027470
Q8WXG1	ENSG00000134321	Q8CBB9	ENSMUSG00000020641
Q6NSJ2	ENSG00000176531	E9QAF4	ENSMUSG00000074277
A6NHQ4	ENSG00000277303; ENSG00000273604	Q7TNS8	ENSMUSG00000043439
Q96DN2	ENSG00000167992	Q3U515	ENSMUSG00000043789
O95997	ENSG00000164611	Q9CQJ7	ENSMUSG00000020415
O75023	ENSG00000274311; ENSG00000273991; ENSG00000277414; ENSG00000105609; ENSG00000278437	E9Q6M9	ENSMUSG00000030427
Q96IR2	ENSG00000213799	E9Q459	ENSMUSG00000067942
Q86UW1	ENSG00000163959	Q8R000	ENSMUSG00000035699
Q9Y672	ENSG00000088035	Q3TAE8	ENSMUSG00000073792
Q9H694	ENSG00000122870	Q99MQ1	ENSMUSG00000014329
O60927	ENSG00000206501; ENSG00000236560; ENSG00000237829; ENSG00000237403; ENSG00000204619; ENSG00000233314; ENSG00000227720; ENSG00000234058	Q8K1L5	ENSMUSG00000036398
P35580	ENSG00000133026	Q61879	ENSMUSG00000020900
Q96CB8	ENSG00000138785	Q9D168	ENSMUSG00000028016
Q5JVX7	ENSG00000203963	Q9D5Q8	ENSMUSG00000028520
Q9NR64	ENSG00000150361	Q9JI74	ENSMUSG00000022076
O43143	ENSG00000109606	O35286	ENSMUSG00000029169
P61371	ENSG00000016082	P61372	ENSMUSG00000042258
Q9BV40	ENSG00000118640	O70404	ENSMUSG00000103205; ENSMUSG00000050732
Q92624	ENSG00000062725	Q9DAX9	ENSMUSG00000018481
Q9NRC1	ENSG00000004866	Q99M96	ENSMUSG00000029534
O00570	ENSG00000182968	P53783	ENSMUSG00000096014
Q86TD4	ENSG00000185739	Q7TQ48	ENSMUSG00000022519
P62857	ENSG00000233927	P62858	ENSMUSG00000067288
Q06520	ENSG00000105398	L7N245	ENSMUSG00000074377
Q99541	ENSG00000147872	P43883	ENSMUSG00000028494
Q99543	ENSG00000105821	P54103	ENSMUSG00000029014
Q13885	ENSG00000137267	Q7TMM9	ENSMUSG00000058672
Q8TE59	ENSG00000145808	P59509	ENSMUSG00000053441
Q9NVP2	ENSG00000105011	Q9DAP7	ENSMUSG00000005470
Q96QB1	ENSG00000164741	Q9R0Z9	ENSMUSG00000031523
P04001	ENSG00000166160; ENSG00000268221; ENSG00000269433	O35599	ENSMUSG00000031394
Q9NNW5	ENSG00000178252	Q99ME2	ENSMUSG00000066357
A7MCY6	ENSG00000198933	A2A9T0	ENSMUSG00000038517
P09497	ENSG00000175416	Q6IRU5	ENSMUSG00000047547
Q9Y2M2	ENSG00000125046	Q8C3L1	ENSMUSG00000034387
Q01995	ENSG00000149591	P37804	ENSMUSG00000032085
P21462	ENSG00000171051	P33766	ENSMUSG00000045551
Q9NVN8	ENSG00000130119	Q6PGG6	ENSMUSG00000025266
Q8TEX9	ENSG00000196497	Q8VI75	ENSMUSG00000002319
Q4G0X9	ENSG00000141519	Q8BI79	ENSMUSG00000039963
Q9BYR0	ENSG00000266286	Q9D7P3	ENSMUSG00000048294
P60602	ENSG00000125995	P60603	ENSMUSG00000067847
P09874	ENSG00000143799	P11103	ENSMUSG00000026496
Q9NQP4	ENSG00000101132	Q3UWL8	ENSMUSG00000052033
Q15417	ENSG00000117519	Q9DAW9	ENSMUSG00000053931
Q96K37	ENSG00000127526	Q8CD26	ENSMUSG00000019731
Q9P241	ENSG00000145246	Q8K2X1	ENSMUSG00000046808
Q9C040	ENSG00000109654	Q9ESN6	ENSMUSG00000027993
Q8IWX5	ENSG00000163082	Q810K3	ENSMUSG00000032908
P20132	ENSG00000135094	Q8VBT2	ENSMUSG00000029597
Q16849	ENSG00000054356	Q60673	ENSMUSG00000026204
P05113	ENSG00000113525	P04401	ENSMUSG00000036117
Q9Y605	ENSG00000179010	Q9CQL7	ENSMUSG00000055302
Q9NRS4	ENSG00000137648	Q8VCA5	ENSMUSG00000032091
P05060	ENSG00000089199	P16014	ENSMUSG00000027350
Q9Y618	ENSG00000196498	Q9WU42	ENSMUSG00000029478
Q9BZD7	ENSG00000130032	Q6PAQ9	ENSMUSG00000033361
P78562	ENSG00000102174	P70669	ENSMUSG00000057457
Q96JC9	ENSG00000144597	Q9D4C5	ENSMUSG00000021890
Q06889	ENSG00000179388	P43300	ENSMUSG00000033730
P04155	ENSG00000160182	Q08423	ENSMUSG00000024032
P0C263	ENSG00000187550	P0C5K1	ENSMUSG00000030433
Q8N103	ENSG00000164691	B2RWW0	ENSMUSG00000033450
Q6PCT2	ENSG00000099364	Q6PB97	ENSMUSG00000030811
Q5QJ74	ENSG00000154114	Q8C5W3	ENSMUSG00000037287
O15205	ENSG00000231968; ENSG00000226898; ENSG00000206468; ENSG00000224654; ENSG00000228913; ENSG00000213886; ENSG00000206513	P63072	ENSMUSG00000035186
Q15916	ENSG00000186130	Q8K088	ENSMUSG00000066798
P26715	ENSG00000134545	Q9Z202	ENSMUSG00000030167
Q8NE71	ENSG00000231129; ENSG00000232169; ENSG00000204574; ENSG00000206490; ENSG00000236342; ENSG00000236149; ENSG00000225989	Q6P542	ENSMUSG00000038762
O75182	ENSG00000127511	Q62141	ENSMUSG00000031622
P11166	ENSG00000117394	P17809	ENSMUSG00000028645
Q6ZN16	ENSG00000180815	A2AQW0	ENSMUSG00000031303
P02533	ENSG00000186847	Q61781	ENSMUSG00000045545
Q8IX07	ENSG00000179588	O35615	ENSMUSG00000049577
Q6JEL2	ENSG00000161594	Q9D5V2	ENSMUSG00000001558
Q9UKF7	ENSG00000154217	Q8K4R4	ENSMUSG00000040430
A6NNE9	ENSG00000183654	Q8CBH7	ENSMUSG00000022269
Q9UQL6	ENSG00000108840	Q9Z2V6	ENSMUSG00000008855
Q9NVH6	ENSG00000185973	Q91ZE0	ENSMUSG00000079834
P16284	ENSG00000261371	Q08481	ENSMUSG00000020717
Q93045	ENSG00000104435	P55821	ENSMUSG00000027500
Q4L180	ENSG00000168386	Q6P6L0	ENSMUSG00000043336
Q6JQN1	ENSG00000111271	Q8K370	ENSMUSG00000029456; ENSMUSG00000042647
Q92685	ENSG00000214160	Q8K2A8	ENSMUSG00000033809
P98160	ENSG00000142798	Q05793	ENSMUSG00000028763
A6NMK7	ENSG00000187959	E9Q2N0	ENSMUSG00000018727
Q9C0D7	ENSG00000149289	Q5DTV4	ENSMUSG00000035164
P16152	ENSG00000159228	P48758	ENSMUSG00000051483
Q6S8J7	ENSG00000188877	Q9D4J9	ENSMUSG00000026774
Q02880	ENSG00000077097	Q64511	ENSMUSG00000017485
P43626	ENSG00000277833; ENSG00000284401; ENSG00000278805; ENSG00000278495; ENSG00000275750; ENSG00000125498; ENSG00000278821; ENSG00000278755; ENSG00000284514; ENSG00000284145; ENSG00000275196; ENSG00000276310; ENSG00000274692; ENSG00000274926; ENSG00000278503; ENSG00000273510; ENSG00000284530; ENSG00000278207; ENSG00000274782; ENSG00000277616; ENSG00000283723; ENSG00000284100; ENSG00000284551; ENSG00000284347; ENSG00000273794; ENSG00000278738; ENSG00000275080; ENSG00000275522; ENSG00000276625; ENSG00000278248; ENSG00000276820; ENSG00000277356; ENSG00000275276	P83555	ENSMUSG00000031424
Q8NEM2	ENSG00000171241	Q9Z179	ENSMUSG00000022322
P01893	-	P01901	ENSMUSG00000061232
Q9BSG1	ENSG00000275111	Q8BIQ3	ENSMUSG00000034800
Q15034	ENSG00000138641	A6H6S0	ENSMUSG00000029804
Q5VU65	ENSG00000143552	Q9D2F7	ENSMUSG00000027939
Q9Y580	ENSG00000076053	Q9CQT2	ENSMUSG00000042396
Q14929	ENSG00000175787	E9Q3R6	ENSMUSG00000050954
P20700	ENSG00000113368	P14733	ENSMUSG00000024590
P09683	ENSG00000070031; ENSG00000274473	Q08535	ENSMUSG00000038580
Q96F45	ENSG00000165655	Q7TMA2	ENSMUSG00000039081
P06127	ENSG00000110448	P13379	ENSMUSG00000024669
P22748	ENSG00000167434	Q64444	ENSMUSG00000000805
A8MXZ3	ENSG00000240542	A2A5X3	ENSMUSG00000078255
P04745	ENSG00000174876; ENSG00000187733; ENSG00000237763	P00688	ENSMUSG00000096569; ENSMUSG00000074268; ENSMUSG00000096770; ENSMUSG00000093931
Q969G6	ENSG00000135002	Q8CFV9	ENSMUSG00000024712
Q53EZ4	ENSG00000138180	Q8BT07	ENSMUSG00000024989
Q5TAP6	ENSG00000253797	Q640M1	ENSMUSG00000063785
Q8NGV0	ENSG00000174339	Q8VFA6	ENSMUSG00000101750
Q86VI1	ENSG00000179044	Q8BI71	ENSMUSG00000043251
P01266	ENSG00000042832	O08710	ENSMUSG00000053469
P06744	ENSG00000282019; ENSG00000105220	P06745	ENSMUSG00000036427
P57682	ENSG00000109787	Q60980	ENSMUSG00000029178
Q96PE7	ENSG00000124370	Q9D1I5	ENSMUSG00000033429
